All Outfielders   Projections Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Lewis Brinson CF  MIA "	471	46	102	66	20	5	11	52	28	153	3	2	.217	.273	.350	563
"Jose Osuna 1B  PIT"	319	40	78	46	21	1	10	41	32	79	1	0	.244	.312	.411	567
"Terrance Gore RF  LAD"	179	32	43	30	10	1	2	29	21	51	17	6	.240	.325	.341	568
"Brock Holt 2B  MIL "	307	38	83	61	14	2	6	33	28	76	4	3	.270	.343	.388	574
"Ben Gamel LF  MIL"	269	43	75	53	15	2	5	28	31	84	3	3	.279	.359	.405	581
"Myles Straw SS  HOU "	193	31	54	35	11	1	7	24	19	36	7	2	.280	.346	.456	589
"Tony Kemp 2B  OAK"	267	40	62	38	16	3	5	32	26	62	9	5	.232	.307	.371	590
"Randy Arozarena RF  TB "	189	29	50	30	10	1	9	27	19	51	6	2	.265	.337	.471	592
"Matt Beaty LF  LAD "	190	30	52	31	12	2	7	32	16	35	4	1	.274	.338	.468	599
"Aaron Hicks CF  NYY "	176	32	44	25	8	1	10	30	28	51	3	1	.250	.353	.477	601
"Ka'ai Tom CF  CLE"	183	29	49	29	10	1	9	28	20	46	3	1	.268	.345	.481	610
"Daniel Johnson RF  CLE "	183	29	49	29	10	1	9	28	20	46	3	1	.268	.345	.481	610
"Michael Hermosillo LF  LAA"	186	30	49	29	10	2	8	28	22	47	4	1	.263	.352	.468	613
"Austin Slater RF  SF"	310	38	72	48	15	4	5	35	30	91	7	2	.232	.302	.355	614
"Jordan Luplow RF  CLE"	183	32	48	28	10	1	9	28	21	48	2	1	.262	.341	.475	615
"Travis Jankowski RF  CIN "	183	29	50	34	8	2	6	17	22	41	10	4	.273	.356	.437	617
"Seth Brown LF  OAK"	187	29	51	29	12	2	8	28	19	49	3	1	.273	.348	.487	618
"Zack Granite CF  NYY"	188	30	48	28	10	1	9	29	20	53	3	1	.255	.335	.463	619
"Brian O'Grady CF  TB"	189	28	50	29	10	2	9	26	19	53	3	1	.265	.340	.481	628
"Taylor Ward LF  LAA"	188	28	49	29	10	1	9	27	21	51	3	1	.261	.340	.468	629
"Mark Payton CF  CIN"	184	27	49	29	10	1	9	26	19	48	3	1	.266	.340	.478	631
"Dominic Smith 1B  NYM"	188	30	49	28	11	0	10	26	20	52	1	1	.261	.337	.479	633
"Anthony Alford LF  TOR "	186	29	46	27	10	1	8	26	19	51	4	1	.247	.322	.441	643
"Mike Brosseau 2B  TB "	193	27	53	33	12	1	7	25	15	47	3	1	.275	.335	.456	646
"Yusniel Diaz RF  BAL "	154	27	41	23	9	1	8	26	18	39	2	1	.266	.349	.493	650
"Anthony Garcia LF  LAD"	189	28	48	29	10	1	8	26	19	53	3	1	.254	.330	.444	651
"Justin Williams RF  STL"	189	28	48	29	10	1	8	26	19	53	3	1	.254	.330	.444	651
"Dylan Carlson CF  STL "	189	28	48	29	10	1	8	26	19	53	3	1	.254	.330	.444	651
"Erik Gonzalez SS  PIT "	239	28	63	43	12	2	6	24	17	57	5	2	.264	.310	.406	654
"Bradley Zimmer RF  CLE "	183	29	47	29	10	1	7	24	19	52	4	1	.257	.332	.437	655
"Jonathan Davis CF  TOR"	186	27	46	28	9	1	8	26	17	50	4	1	.247	.317	.435	658
"Raimel Tapia LF  COL"	195	25	51	35	10	1	5	21	13	47	8	2	.262	.309	.400	665
"Tyrone Taylor RF  MIL "	176	25	46	28	9	1	8	24	18	48	3	1	.261	.335	.460	671
"Tim Lopes LF  SEA "	191	25	50	32	10	1	7	24	19	53	4	2	.262	.333	.435	673
"Andrew Stevenson LF  WAS"	188	27	49	31	10	1	7	26	18	48	2	1	.261	.330	.436	677
"Yonathan Daza CF  COL"	192	27	49	32	9	1	7	25	17	50	3	1	.255	.316	.422	678
"Jason Martin LF  PIT "	194	25	50	32	10	1	7	24	17	49	4	1	.258	.322	.428	679
"Robel Garcia 2B  CHC "	191	26	49	30	10	2	7	25	17	49	3	1	.257	.319	.440	683
"Monte Harrison CF  MIA "	187	25	49	31	10	1	7	24	16	53	3	1	.262	.325	.439	688
"Ryan McBroom RF  KC"	188	26	49	31	10	1	7	24	16	49	2	1	.261	.324	.436	695
"Guillermo Heredia CF  PIT"	231	29	55	34	13	1	7	26	19	63	3	1	.238	.305	.394	700
"Garrett Stubbs C  HOU"	192	24	47	30	9	0	8	27	19	42	2	1	.245	.321	.417	704
"Harold Castro CF  DET"	196	21	55	40	8	2	5	25	11	49	3	1	.281	.318	.418	708
"Skye Bolt CF  OAK"	156	25	40	23	9	1	7	23	16	41	2	1	.256	.331	.462	715
"Marcus Wilson CF  BOS"	162	24	42	25	9	1	7	23	15	41	2	1	.259	.328	.457	720
"Charlie Tilson RF  PIT"	197	25	49	36	8	1	4	23	20	46	5	1	.249	.323	.360	737
"Kevin Kramer RF  PIT"	191	25	46	30	9	1	6	26	18	57	2	1	.241	.303	.393	745
"Adolis Garcia RF  TEX"	158	24	38	22	8	1	7	23	16	46	2	1	.240	.316	.437	747
"Charlie Culberson LF  ATL "	158	22	41	26	8	1	6	21	13	52	2	1	.260	.322	.437	759
"Sam Travis 1B  TEX "	138	20	34	21	6	0	7	22	14	37	1	0	.246	.323	.442	778
"Phillip Ervin LF  CIN"	185	24	45	27	11	4	3	22	16	48	4	3	.243	.312	.395	791
"Magneuris Sierra CF  MIA"	193	21	47	37	7	2	1	17	13	54	9	5	.243	.293	.316	799
"Chris Owings 2B  COL"	194	22	42	27	10	1	4	21	14	61	6	2	.216	.275	.340	811
"Sean Rodriguez 3B  MIA"	120	16	31	20	6	0	5	15	10	34	1	0	.258	.323	.433	869
"Mikie Mahtook CF  PHI"	121	16	28	16	6	1	5	17	12	34	2	0	.231	.304	.421	875
"Estevan Florial CF  NYY "	62	11	18	10	4	0	4	10	7	17	1	0	.290	.371	.548	921
"Juan Lagares CF  SD"	116	16	26	18	6	1	1	13	10	35	2	1	.224	.289	.319	970
"Eudy Pina CF  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ross Kivett CF  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Odubel Herrera CF  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Cordell RF  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Michael O'Neill LF  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Hunter Bishop CF  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Brendon Sanger RF  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luke Persico LF  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jared Oliva CF  PIT "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luis Basabe CF  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Anthony Ray LF  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Mark Zagunis RF  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Zach Reks LF  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Michael Smith LF  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jake McCarthy CF  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tra'mayne Holmes CF  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"David Walker RF  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Logan Baldwin RF  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jameson Fisher LF  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Josh Stowers RF  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Rajai Davis LF  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tanner Dodson CF  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Greg Deichmann RF  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Drew Robinson CF  SF "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chantz Mack LF  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Max White LF  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Sean Godfrey CF  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Austin Beck CF  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Josh Palacios CF  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Miguel Perez LF  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Trevor Larnach RF  MIN "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ezequiel Carrera LF  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Collin Cowgill RF  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
