All Outfielders 2015  Season MLB Standard Stats
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Justin Ruggiano RF  TEX"	125	20	31	16	8	1	6	15	14	41	5	2	0.248	0.333	0.472	562
"Jonny Gomes LF  KC "	225	29	48	32	9	0	7	26	31	81	1	1	0.213	0.313	0.347	566
"Tyler Collins RF  DET"	192	18	51	33	11	3	4	25	13	43	2	1	0.266	0.316	0.417	571
"Brandon Barnes CF  COL"	255	30	64	47	13	2	2	17	21	67	4	2	0.251	0.314	0.341	578
"Nolan Reimold RF  BAL"	170	24	42	30	5	1	6	20	23	47	0	0	0.247	0.344	0.394	582
"Justin Maxwell CF  MIA"	249	26	52	35	8	2	7	26	20	76	2	1	0.209	0.275	0.341	584
"Shane Robinson CF  CLE"	180	28	45	35	7	3	0	16	12	29	6	1	0.250	0.299	0.322	586
"Sam Fuld LF  OAK"	290	34	57	36	16	3	2	22	30	55	9	3	0.197	0.276	0.293	588
"Jonathan Villar SS  MIL "	116	18	33	23	7	1	2	11	10	29	7	2	0.284	0.339	0.414	589
"Trayce Thompson CF  LAD"	122	17	36	20	8	3	5	16	13	26	1	0	0.295	0.363	0.533	593
"Domonic Brown LF  PHI"	189	19	43	31	6	1	5	25	14	36	3	1	0.228	0.284	0.349	595
"Travis Snider LF  KC "	237	24	55	37	12	2	4	28	26	66	1	0	0.232	0.313	0.350	598
"Cole Gillespie LF  MIA"	145	17	42	28	10	2	2	16	10	27	4	1	0.290	0.333	0.428	600
"Danny Santana SS  MIN "	261	30	56	41	10	5	0	21	6	68	8	4	0.215	0.241	0.291	611
"Sean Rodriguez 1B  PIT"	224	25	55	38	12	1	4	17	5	63	2	2	0.245	0.281	0.362	612
"Jake Smolinski LF  OAK "	166	24	32	17	7	2	6	26	19	39	1	1	0.193	0.281	0.367	613
"Jason Bourgeois RF  ARI "	196	28	47	37	5	2	3	14	14	33	3	1	0.240	0.294	0.332	615
"Peter Bourjos CF  PHI"	195	32	39	24	8	3	4	13	19	59	5	8	0.200	0.290	0.333	620
"Jarrett Parker RF  SF "	49	11	17	9	2	0	6	14	5	21	1	1	0.347	0.407	0.755	622
"Alexi Amarista SS  SD"	324	28	66	49	10	4	3	30	24	55	5	1	0.204	0.257	0.287	624
"Ivan De Jesus 2B  CIN"	201	15	49	33	10	2	4	28	19	55	0	2	0.244	0.311	0.373	636
"J.B. Shuck LF  CHW"	143	15	38	28	8	2	0	15	16	16	7	5	0.266	0.340	0.350	639
"Chris Denorfia CF  CHC"	212	18	57	42	11	1	3	18	15	56	0	1	0.269	0.319	0.373	656
"Joey Gallo LF  TEX"	108	16	22	12	3	1	6	14	15	57	3	0	0.204	0.301	0.417	667
"Cliff Pennington 2B  LAA"	210	24	44	35	6	0	3	21	27	49	3	0	0.209	0.297	0.281	669
"Skip Schumaker LF  CIN "	244	23	59	38	20	0	1	21	23	51	2	2	0.242	0.306	0.336	670
"Drew Stubbs CF  TEX"	123	20	24	13	4	2	5	10	14	60	5	1	0.195	0.283	0.382	671
"Delmon Young LF  BAL "	174	20	47	39	6	0	2	16	4	29	0	0	0.270	0.289	0.339	677
"Shane Peterson LF  MIL "	201	22	52	40	7	3	2	16	20	55	0	1	0.259	0.324	0.353	684
"Tyler Moore 1B  WAS"	187	14	38	20	12	0	6	27	11	45	0	0	0.203	0.250	0.364	698
"Kirk Nieuwenhuis CF  MIL "	128	21	25	10	11	0	4	14	10	49	2	2	0.195	0.270	0.375	707
"Shane Victorino RF  LAA"	178	19	41	34	4	2	1	7	16	32	7	0	0.230	0.308	0.292	713
"Matt den Dekker CF  WAS"	99	12	25	13	6	1	5	12	9	20	0	1	0.253	0.315	0.485	718
"Jerry Sands RF  CHW "	123	11	29	19	5	1	4	19	9	36	0	0	0.236	0.286	0.390	726
"Dalton Pompey CF  TOR "	94	17	21	11	8	0	2	6	7	23	5	1	0.223	0.291	0.372	727
"Michael Morse 1B  PIT"	229	14	53	40	7	1	5	19	23	76	0	0	0.231	0.312	0.336	733
"Nick Swisher LF  ATL"	219	14	43	28	9	0	6	25	35	54	0	0	0.196	0.311	0.320	741
"Garrett Jones RF  NYY"	144	12	31	21	4	1	5	17	8	37	0	0	0.215	0.257	0.361	748
"Desmond Jennings CF  TB "	97	9	26	22	2	1	1	7	8	17	5	3	0.268	0.324	0.340	753
"David Lough RF  PHI "	134	14	27	21	1	1	4	12	5	36	2	4	0.202	0.241	0.313	760
"Shawn O'Malley LF  SEA"	42	10	11	9	1	0	1	7	12	14	3	0	0.262	0.418	0.357	772
"Carlos Peguero RF  STL "	75	11	14	6	4	0	4	9	13	37	2	0	0.187	0.311	0.400	775
"Rafael Ynoa LF  COL"	127	14	33	24	8	1	0	9	3	28	1	0	0.260	0.277	0.339	797
"Slade Heathcott CF  NYY"	25	6	10	6	2	0	2	8	2	5	0	1	0.400	0.429	0.720	800
"Adam Duvall LF  CIN "	64	6	14	7	2	0	5	9	6	26	0	0	0.219	0.306	0.484	807
"Travis Jankowski CF  SD"	90	9	19	13	2	2	2	12	4	24	2	1	0.211	0.245	0.344	808
"Chris Parmelee 1B  BAL"	97	11	21	9	7	1	4	9	4	26	0	1	0.216	0.255	0.433	809
"Brian Bogusevic RF  PHI"	58	9	15	10	3	0	2	5	3	21	2	0	0.259	0.295	0.414	810
"Eury Perez CF  HOU "	119	10	32	28	4	0	0	5	7	23	3	1	0.269	0.331	0.302	814
"Scott Schebler LF  CIN"	36	6	9	6	0	0	3	4	3	13	2	1	0.250	0.325	0.500	824
"Byron Buxton CF  MIN "	129	16	27	17	7	1	2	6	6	44	2	2	0.209	0.250	0.326	825
"Eric Young LF  MIL "	85	16	13	7	4	2	0	5	6	18	6	2	0.153	0.217	0.247	827
"Jon Jay CF  SD "	210	25	44	37	5	1	1	10	19	36	0	2	0.209	0.306	0.257	831
"Jake Elmore 1B  MIL"	141	10	29	22	5	0	2	16	12	25	1	1	0.206	0.263	0.284	835
"Logan Schafer CF  WAS"	122	17	27	19	6	1	1	6	12	29	1	0	0.221	0.299	0.311	839
"Oswaldo Arcia RF  MIN"	58	6	16	14	0	0	2	8	4	15	0	0	0.276	0.339	0.379	843
"Ryan Rua LF  TEX"	83	10	16	7	5	0	4	7	3	32	0	0	0.193	0.221	0.398	853
"Daniel Robertson CF  SEA "	75	10	21	19	2	0	0	7	2	7	0	0	0.280	0.299	0.307	856
"Matt Joyce LF  PIT "	247	17	43	25	12	1	5	21	30	67	0	3	0.174	0.272	0.291	861
"Kyle Parker RF  COL "	106	10	19	12	3	1	3	11	6	37	1	0	0.179	0.223	0.311	868
"Darnell Sweeney LF  PHI "	85	9	15	7	4	1	3	11	13	27	0	2	0.176	0.286	0.353	878
"Todd Cunningham CF  LAA"	86	13	19	15	4	0	0	4	5	17	2	1	0.221	0.280	0.267	882
"Darrell Ceciliani CF  TOR "	68	5	14	11	2	0	1	3	4	25	5	1	0.206	0.270	0.279	883
"Matt Szczur CF  CHC"	72	5	16	10	5	0	1	8	6	15	2	0	0.222	0.279	0.333	896
"Chris Heisey LF  WAS"	55	8	10	6	2	0	2	9	15	17	0	1	0.182	0.347	0.327	897
"Ryan Strausborger RF  TEX"	45	9	9	8	0	0	1	3	3	11	2	1	0.200	0.240	0.267	902
"Daniel Nava RF  LAA "	139	13	27	22	4	0	1	10	20	36	1	0	0.194	0.315	0.245	916
