All Starting Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Yean Carlos Gil SP  ATL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Tim Berry SP  MIA "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Joan Gregorio SP  SF"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Brian Flynn SP  KC "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"A.J. Griffin SP  TEX "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Jayson Aquino SP  STL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Tyler Anderson SP  COL "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Jonathan Pettibone SP  CHC "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Mauricio Cabrera SP  ATL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Burch Smith SP  TB"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Ryan Merritt SP  CLE"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Joely Rodriguez SP  PHI"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Raul Alcantara SP  OAK"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Raul Fernandez SP  CHW"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Grayson Garvin SP  TB"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Nick Kingham SP  PIT "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Hyun-Jin Ryu SP  LAD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
""Cory Luebke SP  PIT ""	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Lisalverto Bonilla SP  LAD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Jason Wheeler SP  MIN"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Eddie Gamboa SP  TB "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Josh Johnson SP  SD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Jarrod Parker SP  OAK "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Cliff Lee SP  PHI"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Tyler Skaggs SP  LAA "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Bronson Arroyo SP  WAS "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Jameson Taillon SP  PIT"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Yu Darvish SP  TEX "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Amir Garrett SP  CIN"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1140
"Severino Gonzalez SP  PHI"	30.7	7	0	0	3	3	0	0	28	7	44	7.92	1.66	1238
