All Relief Pitchers 2015  Season MLB Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Addison Reed RP  NYM "	56.0	0	0	0	3	3	4	4	51	19	58	3.38	1.38	563
"Tyler Lyons SP  STL "	60.0	8	2	0	3	1	0	0	60	15	59	3.75	1.23	569
"Javier Lopez RP  SF"	39.3	0	0	0	1	0	0	0	26	16	19	1.60	0.89	570
"Justin Miller RP  COL"	33.3	0	0	0	3	3	1	1	38	11	21	4.05	0.96	573
"Steven Wright SP  BOS"	72.7	9	4	0	5	4	0	0	52	27	67	4.09	1.29	575
"Jared Hughes RP  PIT "	67.0	0	0	0	3	1	0	3	36	19	70	2.28	1.33	576
"Bryan Morris RP  MIA "	63.0	0	0	0	5	4	0	2	47	26	67	3.14	1.48	583
"Tommy Hunter RP  CLE "	60.3	0	0	0	4	2	1	1	47	14	61	4.18	1.24	587
"Kevin Quackenbush RP  SD "	58.3	0	0	0	3	2	0	1	58	20	52	4.01	1.23	590
"Brian Matusz RP  BAL "	49.0	0	0	0	1	4	0	2	56	20	38	2.94	1.18	592
"Vidal Nuno RP  SEA"	89.0	10	3	0	1	5	0	0	81	22	90	3.74	1.26	594
"Trevor Gott RP  WAS"	47.7	0	0	0	4	2	0	4	27	16	43	3.02	1.24	596
"Jumbo Diaz RP  CIN"	60.3	0	0	0	2	1	1	4	70	18	58	4.18	1.26	597
"LaTroy Hawkins RP  TOR"	38.7	0	0	0	3	1	3	2	34	7	44	3.26	1.32	601
"Dalier Hinojosa RP  PHI"	24.7	0	0	0	2	0	0	1	23	11	15	0.73	1.05	603
"Matt Thornton RP  WAS"	41.3	0	0	0	2	1	0	1	23	11	33	2.18	1.06	604
"Yusmeiro Petit RP  WAS"	76.0	1	0	0	1	1	1	0	59	15	75	3.67	1.18	607
"Zach Putnam RP  CHW "	48.7	0	0	0	3	3	0	3	64	24	42	4.07	1.36	608
"Tanner Roark RP  WAS "	111.0	12	4	0	4	7	1	1	70	26	119	4.38	1.31	617
"Erik Goeddel RP  NYM "	33.3	0	0	0	1	1	0	0	34	9	24	2.43	0.99	621
"Jeanmar Gomez RP  PHI "	74.7	0	0	0	2	3	0	3	50	17	82	3.01	1.33	623
"Logan Verrett RP  NYM "	47.7	4	1	0	1	2	1	1	39	15	34	3.59	1.03	626
"Doug Fister SP  HOU "	103.0	15	7	0	5	7	1	0	63	24	120	4.19	1.40	628
"Chris Bassitt SP  OAK "	86.0	13	8	0	1	8	0	0	64	30	78	3.56	1.26	629
"Jim Johnson RP  ATL"	66.7	0	0	0	2	6	10	7	50	20	77	4.46	1.46	630
"Jonathan Broxton RP  STL"	60.3	0	0	0	4	5	0	3	63	22	61	4.62	1.38	632
"Junichi Tazawa RP  BOS "	58.7	0	0	0	2	7	3	7	56	13	65	4.14	1.33	633
"Josh Osich RP  SF"	28.7	0	0	0	2	0	0	2	27	8	24	2.20	1.12	634
"Cesar Ramos RP  TEX "	52.3	0	0	0	2	1	0	2	43	15	55	2.75	1.34	635
"Luis Garcia RP  PHI"	66.7	0	0	0	4	6	2	2	63	37	72	3.51	1.64	638
"Matt Andriese RP  TB"	65.7	8	1	0	3	5	2	0	49	18	69	4.11	1.32	640
"Neal Cotts RP  MIN"	63.3	0	0	0	1	0	0	0	58	22	58	3.41	1.26	642
"Jake Petricka RP  CHW"	52.0	0	0	0	4	3	2	1	33	18	56	3.63	1.42	645
"Andrew Bellatti RP  TB"	23.3	0	0	0	3	1	0	0	18	10	16	2.31	1.11	646
"Seth Maness RP  STL "	63.3	0	0	0	4	2	3	3	46	13	77	4.26	1.42	647
"Carlos Torres RP  NYM "	57.7	0	0	0	5	6	0	1	48	18	61	4.68	1.37	648
"Luis Avilan RP  LAD "	53.3	0	0	0	2	5	0	3	49	15	48	4.05	1.18	650
"Adam Ottavino RP  COL "	10.3	0	0	0	1	0	3	0	13	2	3	0.00	0.48	652
"Robbie Ross RP  BOS "	60.7	0	0	0	0	2	6	2	53	20	59	3.86	1.30	655
"Corey Knebel RP  MIL "	50.3	0	0	0	0	0	0	1	58	17	44	3.22	1.21	658
"Alexi Ogando RP  ATL "	65.3	0	0	0	3	1	0	4	53	28	59	4.00	1.33	659
"Chris Narveson RP  MIA "	30.3	2	0	0	3	1	0	0	32	9	24	4.45	1.09	660
"Charlie Furbush RP  SEA "	21.7	0	0	0	1	1	0	0	17	5	9	2.08	0.65	663
"Joel Peralta RP  SEA "	29.0	0	0	0	3	1	3	0	24	8	28	4.34	1.24	664
"Hector Neris RP  PHI"	40.3	0	0	0	2	2	0	0	41	10	38	3.79	1.19	665
"Steve Cishek RP  SEA "	55.3	0	0	0	2	6	4	5	48	27	55	3.58	1.48	668
"Nate Jones RP  CHW"	19.0	0	0	0	2	2	0	1	27	6	12	3.32	0.95	674
"Brandon Gomes RP  CHC "	59.0	0	0	0	2	6	1	2	44	15	55	4.27	1.19	676
"Kyle Barraclough RP  MIA"	24.3	0	0	0	2	1	0	1	30	18	12	2.59	1.23	679
"Blake Treinen RP  WAS"	67.7	0	0	0	2	5	0	3	65	32	62	3.86	1.39	680
"Aaron Barrett RP  WAS "	29.3	0	0	0	3	3	0	3	35	7	28	4.60	1.19	681
"Clayton Richard RP  CHC "	42.3	3	2	0	4	2	0	0	22	7	47	3.83	1.28	682
"Jake Diekman RP  TEX "	58.3	0	0	0	2	1	0	3	69	31	53	4.01	1.44	686
"Oliver Perez RP  WAS"	41.0	0	0	0	2	4	0	3	51	15	39	4.17	1.32	688
"Vance Worley RP  BAL "	71.7	8	2	0	4	6	0	1	49	21	81	4.02	1.42	690
