Free Agent Relief Pitchers  Season   Projections Standard Stats
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Carson Smith RP  BOS "	35.0	0	0	0	1	1	1	0	45	11	24	2.31	1.00	647
"Brooks Pounders RP  LAA "	118.7	22	11	0	11	8	2	0	114	38	142	6.07	1.52	650
"Pat Neshek RP  PHI"	45.7	0	0	0	2	4	1	0	43	10	38	3.35	1.05	651
"Cody Anderson RP  CLE "	118.7	15	6	0	6	7	0	0	77	29	127	4.55	1.31	652
"Cory Gearrin RP  SF "	62.0	0	0	0	2	3	2	0	60	18	51	4.36	1.11	654
"Junichi Tazawa RP  MIA "	61.3	0	0	0	3	4	2	0	63	15	64	4.11	1.29	655
"Heath Hembree RP  BOS"	67.7	0	0	0	3	1	0	0	55	23	68	3.06	1.34	656
"Ryan Tepera RP  TOR"	56.3	0	0	0	2	3	3	0	43	17	48	3.67	1.15	658
"Mike Morin RP  LAA"	70.0	0	0	0	4	3	2	0	70	19	68	5.14	1.24	659
"Mike Dunn RP  COL "	57.3	0	0	0	4	3	0	0	62	24	53	4.08	1.34	660
"Tony Sipp RP  HOU"	51.0	0	0	0	2	3	1	0	54	18	47	3.18	1.27	661
"Michael Tonkin RP  MIN"	81.0	0	0	0	5	2	0	0	85	28	87	4.67	1.42	662
"Sean Gilmartin RP  NYM"	66.0	0	0	0	3	1	0	0	57	22	62	3.68	1.27	663
"Adam Liberatore RP  LAD "	58.7	0	0	0	2	2	0	0	62	21	49	3.83	1.19	666
"Jose Alvarez RP  LAA"	71.3	0	0	0	3	4	0	0	63	22	74	3.53	1.35	670
"Jake McGee RP  COL "	58.0	0	0	0	2	3	2	0	60	17	58	3.72	1.29	677
"Josh Fields RP  LAD "	59.7	0	0	0	2	1	0	0	80	22	57	4.07	1.32	679
"Tanner Scheppers RP  TEX"	66.7	0	0	0	8	3	2	0	52	37	61	5.40	1.47	680
"Chris Smith RP  TOR"	57.0	0	0	0	3	3	3	1	52	22	56	3.79	1.37	681
"James Hoyt RP  HOU"	31.7	0	0	0	4	1	1	0	38	13	26	4.26	1.23	683
"Rob Zastryzny RP  CHC"	36.0	0	0	0	1	1	3	1	36	12	31	2.25	1.19	685
"Erik Goeddel RP  NYM"	63.7	0	0	0	2	3	0	0	65	21	57	3.96	1.23	689
"Jason Motte RP  COL"	61.7	0	0	0	4	2	2	0	50	16	66	4.23	1.33	691
"Robbie Ross RP  BOS "	67.7	0	0	0	1	2	2	0	64	25	61	3.59	1.27	692
"Fernando Abad RP  BOS"	51.0	0	0	0	2	3	5	0	47	22	46	3.88	1.33	699
"Jacob Barnes RP  MIL"	38.7	0	0	0	1	2	2	0	37	9	34	2.79	1.11	701
"Jeff Locke SP  MIA "	118.7	20	8	0	8	9	2	0	81	42	133	4.93	1.47	703
"Oliver Drake RP  BAL"	42.7	0	0	0	3	1	0	0	49	21	35	3.59	1.31	706
"John Axford RP  OAK"	66.3	0	0	0	4	5	2	0	67	34	66	4.07	1.51	707
"Jonathan Broxton RP  STL"	59.0	0	0	0	4	4	0	0	58	23	55	4.42	1.32	709
"Nick Wittgren RP  MIA"	37.7	0	0	0	3	3	0	0	31	7	37	3.11	1.17	710
"Casey Fien RP  SEA "	78.7	0	0	0	3	4	0	0	58	14	81	4.35	1.21	719
"Dustin McGowan RP  MIA "	72.3	0	0	0	3	4	2	0	68	43	63	3.86	1.47	726
"Grant Dayton RP  LAD"	28.0	0	0	0	1	1	0	0	44	8	21	2.89	1.04	728
"Mark Lowe RP  DET"	61.3	0	0	0	2	3	2	0	66	20	60	4.40	1.30	731
"Ryan Merritt RP  CLE"	37.3	0	0	0	2	2	2	1	28	9	33	3.38	1.12	736
"Chad Qualls RP  COL"	52.3	0	0	0	3	3	2	0	43	11	56	4.30	1.28	743
"Jared Hughes RP  PIT "	67.7	0	0	0	2	1	1	0	38	22	71	2.66	1.37	744
"Donnie Hart RP  BAL"	33.7	0	0	0	1	1	1	0	24	12	26	1.87	1.13	754
"Kyle Ryan RP  DET"	43.0	0	0	0	4	2	0	0	25	13	41	3.77	1.26	757
"Dan Winkler RP  ATL "	45.3	0	0	0	2	2	2	0	45	18	41	3.97	1.30	763
"Dan Altavilla RP  SEA"	36.7	0	0	0	1	1	1	0	32	9	35	2.45	1.20	765
"Matt Barnes RP  BOS"	64.0	0	0	0	4	2	2	0	64	27	70	4.50	1.52	766
"Drew Hutchison RP  PIT "	118.7	18	8	0	8	8	0	0	103	35	141	5.54	1.48	768
"Brad Hand RP  SD "	58.0	0	0	0	2	3	1	0	57	22	54	4.19	1.31	770
"Damien Magnifico RP  MIL"	52.0	0	0	0	3	3	2	0	42	23	49	3.98	1.38	771
"Tommy Layne RP  NYY "	54.7	0	0	0	2	2	2	0	49	29	46	3.79	1.37	772
"Jose Torres RP  SD"	46.7	0	0	0	2	2	2	0	43	19	46	3.47	1.39	773
"Mauricio Cabrera RP  ATL"	24.3	0	0	0	2	1	2	0	21	12	20	2.22	1.32	780
"Ian Krol RP  ATL "	63.0	0	0	0	3	3	0	0	66	24	68	4.14	1.46	781
"Brian Flynn RP  KC"	37.0	0	0	0	1	1	0	0	30	16	26	2.68	1.14	782
"Felix Pena RP  CHC"	33.0	0	0	0	1	1	3	0	35	12	28	3.82	1.21	788
"Rafael Martin RP  WAS"	24.3	0	0	0	2	1	1	0	34	9	21	4.07	1.23	793
"Trevor May RP  MIN "	39.3	0	0	0	3	2	0	0	42	11	42	4.35	1.35	795
"Buddy Baumann RP  SD"	29.0	0	0	0	2	1	2	0	28	11	26	3.72	1.28	799
"Josh Osich RP  SF "	50.7	0	0	0	2	2	0	0	41	21	44	3.73	1.28	802
"Shae Simmons RP  SEA "	39.7	0	0	0	1	2	2	0	32	12	38	3.18	1.26	803
"Daniel Coulombe RP  OAK"	40.3	0	0	0	3	1	0	0	41	16	34	4.91	1.24	804
"A.J. Schugel RP  PIT "	31.3	0	0	0	2	1	2	0	26	9	30	3.73	1.24	805
"Chase Whitley RP  TB"	33.3	0	0	0	1	1	2	0	31	8	33	3.51	1.23	819
"Brent Suter RP  MIL"	27.3	0	0	0	3	1	1	0	20	7	30	3.62	1.35	822
"Juan Nicasio RP  PIT "	43.3	0	0	0	2	2	1	0	50	19	43	4.15	1.43	825
"Miguel Almonte RP  KC"	37.0	0	0	0	3	4	2	0	36	19	34	4.62	1.43	826
"Luis Garcia RP  PHI"	73.3	0	0	0	4	6	2	0	69	40	83	4.05	1.68	829
"Enrique Burgos RP  ARI"	76.3	0	0	0	3	5	2	0	92	42	73	5.31	1.51	833
"Vicente Campos RP  LAA "	32.3	0	0	0	2	2	1	0	28	12	30	3.62	1.30	835
