All Starting Pitchers 2010 MLB Standard Stats,,,,,,,,,,,,,,,
Player,Team,INN,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Rank
Enright, Barry SP ARI	Free Agent	99.0	17	9	0	6	7	0	0	49	29	97	3.909	1.2727	402
Shields, James SP TB	Whiteness	203.3	33	17	0	13	15	0	0	187	51	246	5.179	1.4607	405
Kendrick, Kyle SP PHI	Free Agent	180.7	31	14	1	11	10	0	0	84	49	199	4.732	1.3727	410
Gorzelanny, Tom SP CHC	Free Agent	136.3	23	11	0	7	9	1	0	119	68	136	4.093	1.4963	412
Blanton, Joe SP PHI	Free Agent	175.7	28	16	0	9	6	0	0	134	43	206	4.816	1.4175	417
Sanabia, Alex SP FLA 	Free Agent	72.3	12	4	0	5	3	0	0	47	16	74	3.733	1.2442	424
Saunders, Joe SP ARI	Free Agent	203.3	33	15	3	9	17	0	0	114	64	232	4.471	1.4557	434
Hernandez, David RP ARI 	Free Agent	79.3	8	2	0	8	8	2	4	72	42	72	4.311	1.4370	443
Norris, Bud SP HOU	Free Agent	153.7	27	10	0	9	10	0	0	158	77	151	4.920	1.4837	451
Bailey, Homer SP CIN	Free Agent	109.0	19	8	1	4	3	0	0	100	40	109	4.459	1.3670	456
Galarraga, Armando SP DET	SA`s	144.3	24	9	2	4	9	0	0	74	51	143	4.490	1.3441	470
Jurrjens, Jair SP ATL 	User Abuser	116.3	20	10	0	7	6	0	0	86	42	120	4.642	1.3926	471
Porcello, Rick SP DET	Disco Bush Horticulturists	162.7	27	13	0	10	12	0	0	84	38	188	4.924	1.3893	472
Pauley, David SP SEA	Free Agent	90.7	15	6	0	4	9	0	0	51	30	89	4.070	1.3125	476
Leake, Mike SP CIN	Free Agent	138.3	22	13	0	8	4	0	0	91	49	158	4.229	1.4964	479
Talbot, Mitch SP CLE	Free Agent	159.3	28	11	1	10	13	0	0	88	69	169	4.406	1.4937	481
Vazquez, Javier SP FLA 	Titty`s Warriors	157.3	26	10	0	10	10	0	0	121	65	155	5.320	1.3983	482
Capuano, Chris RP MIL	Grape Apes	66.0	9	4	0	4	4	0	0	54	21	65	3.954	1.3030	483
Tomlin, Josh SP CLE	Free Agent	73.0	12	5	1	6	4	0	0	43	19	72	4.562	1.2466	484
Mazzaro, Vin SP KC 	Free Agent	122.3	18	12	0	6	8	0	0	79	50	127	4.267	1.4469	494
McDonald, James SP PIT	SA`s	71.7	12	5	0	4	6	0	0	68	29	70	4.019	1.3814	497
Penny, Brad SP STL 	SA`s	55.7	9	7	0	3	4	0	0	35	9	63	3.233	1.2934	499
Ohlendorf, Ross SP PIT 	Free Agent	108.3	21	11	0	1	11	0	0	79	44	106	4.071	1.3846	505
Sheets, Ben SP OAK 	Titty`s Warriors	119.3	20	13	0	4	9	0	0	84	43	123	4.525	1.3911	508
Lopez, Rodrigo SP ARI	Free Agent	200.0	33	15	0	7	16	0	0	116	56	227	4.995	1.4150	524
Masterson, Justin SP CLE	User Abuser	180.0	29	12	1	6	13	0	0	140	73	197	4.700	1.5000	531
Bush, Dave SP MIL	Free Agent	174.3	31	18	0	8	13	0	0	107	65	198	4.543	1.5086	533
Gee, Dillon SP NYM	Free Agent	33.0	5	5	0	2	2	0	0	17	15	25	2.182	1.2121	539
Young, Chris R. SP SD 	Titty`s Warriors	20.0	4	1	0	2	0	0	0	15	11	10	0.900	1.0500	543
Hochevar, Luke SP KC	Free Agent	103.0	17	8	1	6	6	0	0	76	37	110	4.806	1.4272	554
Holland, Derek SP TEX	Titty`s Warriors	57.3	10	2	0	3	4	0	0	54	24	55	4.081	1.3779	557
Bergesen, Brad SP BAL	Free Agent	170.0	28	12	2	8	12	0	0	81	51	193	4.976	1.4353	580
French, Luke SP SEA	Free Agent	87.7	13	4	0	5	7	0	0	37	29	88	4.825	1.3346	584
Francis, Jeff SP COL 	Free Agent	104.3	19	9	0	4	6	0	0	67	23	119	5.003	1.3610	585
Volquez, Edinson SP CIN	SA`s	62.7	12	7	0	4	3	0	0	67	35	59	4.309	1.5000	590
Burnett, A.J. SP NYY	Free Agent	186.7	33	14	1	10	15	0	0	145	78	204	5.255	1.5107	592
Correia, Kevin SP PIT 	Free Agent	145.0	26	8	0	10	10	0	0	115	64	152	5.400	1.4897	596
Carrasco, Carlos SP CLE	Free Agent	44.7	7	6	1	2	2	0	0	38	14	47	3.828	1.3657	603
Cramer, Bobby SP OAK	Free Agent	23.7	4	1	0	2	1	0	0	13	6	20	3.042	1.0986	606
Wakefield, Tim SP BOS 	Free Agent	140.0	19	9	0	4	10	0	0	84	36	153	5.336	1.3500	611
