All Shortstops 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Daniel Pinero SS  DET"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Andres Alvarez SS  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Brallan Perez SS  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Miguelangel Sierra SS  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Derian Cruz SS  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Connor Kaiser SS  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Daniel Schneemann SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Johnny Adams SS  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tyler Webb SS  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cesar Galvez SS  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Glynn Davis SS  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Rosman Verdugo SS  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jackson Cluff SS  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cristian Toribio SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Keyber Rodriguez SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Uziel Viloria SS  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jose Torres SS  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Frainyer Chavez SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Euribiel Angeles SS  OAK"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Austin Bailey SS  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Michael Russell SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Howard SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Mack Chambers SS  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Josh Hood SS  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Miguel Villarroel SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Leosdany Molina SS  HOU"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Olivier Basabe SS  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luisangel Acuna SS  TEX"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Demetrius Sims SS  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jorma Rodriguez SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Abiezel Ramirez SS  TB"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Moises Castillo SS  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jackson Holliday SS  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"C.J. Chatham SS  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ernie Yake SS  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Marcus Mooney SS  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Channy Ortiz SS  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Matt McLain SS  CIN"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Yordys Valdes SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Leonardo Rivas SS  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Carlos Herrera SS  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cam Devanney SS  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Johmbeyker Morales SS  SEA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Tsung-Che Cheng SS  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Lizandro Rodriguez SS  KC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Stephen Bruno SS  CHC"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Chase d'Arnaud SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Junior Tilien SS  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Noah Perio SS  SD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jose Alexander Martinez SS  STL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"C.J. Hinojosa SS  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kyle Holder SS  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Johan Lopez SS  TB "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Anthony Volpe SS  NYY "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Diego Mosquera SS  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jose Lozada SS  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ghordy Santos SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wilber Sanchez SS  CHW"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Eduardo Garcia SS  MIL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Kyle Marinconz SS  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Jackson SS  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Julio Carreras SS  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Erick Salcedo SS  LAA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Zach Osborne SS  COL"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Wyatt Young SS  NYM"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Devin Hairston SS  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Simon Whiteman SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Luke Wakamatsu SS  CLE"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jeral Toledo SS  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Cristian Gomez SS  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jose Fermin SS  STL "	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Gunnar Heidt SS  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Christian Koss SS  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jonathan Guzman SS  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Jose Sanchez SS  WAS"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
"Ryan Reckley SS  SF"	0	0	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	9999
