All Outfielders 2022  Season MLB Standard Categories
Player,AB	R	H	1B	2B	3B	HR	RBI	BB	K	SB	CS	AVG	OBP	SLG	Rank	
"Tucupita Marcano LF  PIT"	160	18	33	23	6	2	2	13	10	44	2	1	.206	.256	.306	847
"Ryan O'Hearn DH  BAL "	134	14	32	24	6	1	1	16	8	35	0	0	.239	.290	.321	848
"Will Brennan LF  CLE "	42	6	15	12	1	1	1	8	2	4	2	1	.357	.400	.500	852
"Jake Meyers CF  HOU "	150	13	34	25	6	2	1	15	7	54	2	1	.227	.269	.313	857
"Vidal Brujan 2B  TB"	147	13	24	16	5	0	3	16	12	37	5	5	.163	.228	.259	858
"Nick Solak LF  CIN "	82	14	17	13	1	0	3	4	7	19	3	2	.207	.308	.329	859
"Roman Quinn CF  CLE"	79	15	17	12	3	2	0	7	7	36	4	3	.215	.287	.304	863
"Nolan Jones RF  COL"	86	10	21	14	5	0	2	13	8	31	0	0	.244	.308	.372	867
"Jonathan Davis CF  DET"	76	9	17	16	1	0	0	4	14	26	7	1	.224	.344	.237	871
"Kody Clemens 3B  PHI"	117	13	17	8	4	0	5	17	8	33	1	0	.145	.197	.308	873
"Jerar Encarnacion RF  MIA"	77	7	14	8	3	0	3	14	3	32	2	0	.182	.210	.338	887
"Peyton Burdick LF  MIA "	92	8	19	11	4	0	4	11	8	35	1	0	.206	.284	.380	889
"Jake Marisnick CF  CHW"	77	9	18	10	6	0	2	6	4	24	2	1	.234	.272	.390	902
"Michael Toglia RF  COL "	111	10	24	12	8	2	2	12	9	44	1	1	.216	.275	.378	903
"Ji-Hwan Bae CF  PIT"	33	5	11	8	3	0	0	6	2	6	3	0	.333	.405	.424	906
"Wynton Bernard CF  TOR"	42	9	12	11	1	0	0	3	0	8	3	1	.286	.286	.309	911
"Jake Lamb LF  LAA"	97	13	21	11	6	1	3	6	11	38	0	1	.216	.315	.392	918
"Dee Strange-Gordon SS  WAS"	59	6	18	16	1	1	0	2	0	8	3	2	.305	.305	.356	944
"Matt Wallner RF  MIN "	57	4	13	8	3	0	2	10	6	25	1	0	.228	.323	.386	949
"Jason Heyward CF  LAD "	137	15	28	21	5	1	1	10	11	32	1	0	.204	.278	.277	953
"Daz Cameron RF  BAL"	64	6	14	9	3	1	1	8	5	20	2	0	.219	.286	.344	966
"Austin Meadows RF  DET "	128	9	32	24	6	2	0	11	16	17	0	1	.250	.347	.328	968
"Mickey Moniak CF  LAA"	106	13	18	11	3	1	3	8	4	44	1	0	.170	.207	.302	970
"Derek Hill CF  WAS "	83	8	19	16	2	0	1	3	5	28	3	0	.229	.270	.289	973
"Yermin Mercedes DH  SF"	73	9	17	11	5	0	1	8	9	17	0	0	.233	.325	.343	976
"Travis Demeritte RF  ATL"	89	9	19	14	2	0	3	6	6	32	0	0	.213	.260	.337	977
"Guillermo Heredia LF  ATL"	76	12	12	5	3	1	3	8	6	32	0	0	.158	.220	.342	978
"Richard Palacios LF  CLE "	112	7	26	20	6	0	0	10	9	20	2	0	.232	.293	.286	983
"Luis Barrera RF  LAA"	77	3	18	12	5	0	1	7	6	17	3	0	.234	.294	.338	986
"James Outman LF  LAD "	13	6	6	3	2	0	1	3	2	7	0	0	.462	.562	.846	987
"Lorenzo Cain CF  MIL "	145	17	26	20	5	0	1	9	8	36	2	2	.179	.231	.234	990
"Dalton Guthrie RF  PHI"	21	3	7	6	0	0	1	5	6	7	1	0	.333	.500	.476	994
"Bradley Zimmer CF  LAD"	105	18	13	6	5	0	2	5	5	45	3	2	.124	.207	.229	1009
"Lewis Brinson CF  SF"	36	5	6	1	2	0	3	4	2	14	1	0	.167	.210	.472	1011
"Cristian Pache CF  OAK "	241	18	40	30	5	2	3	18	15	70	2	2	.166	.218	.241	1019
"Abraham Almonte CF  NYM "	35	7	9	6	2	0	1	2	1	12	1	0	.257	.297	.400	1023
"Mark Contreras CF  MIN"	58	9	7	3	1	0	3	6	1	21	1	0	.121	.147	.293	1037
"Magneuris Sierra CF  ATL"	91	7	15	11	1	3	0	5	4	25	6	1	.165	.200	.242	1043
"Travis Jankowski LF  TEX"	55	11	9	9	0	0	0	2	8	10	3	0	.164	.281	.164	1051
"Monte Harrison LF  MIL"	11	5	2	1	0	0	1	3	2	8	1	0	.182	.357	.455	1060
"Steven Duggar CF  LAD"	72	7	11	7	3	1	0	4	7	41	5	1	.153	.225	.222	1079
"Jack Mayfield 2B  LAA"	70	8	13	10	1	1	1	6	3	17	1	0	.186	.230	.271	1080
"Miguel Vargas 1B  LAD "	47	4	8	6	1	0	1	8	2	13	1	0	.170	.200	.255	1095
"Nick Plummer RF  CIN"	29	4	4	1	1	0	2	6	1	12	0	0	.138	.194	.379	1102
"Bligh Madris RF  HOU"	113	10	20	12	7	0	1	7	10	31	2	1	.177	.244	.266	1107
"Josh Palacios RF  PIT"	47	8	10	8	2	0	0	2	1	15	1	0	.213	.245	.255	1121
"Kyle Lewis RF  ARI "	56	6	8	5	0	0	3	5	5	19	0	0	.143	.226	.304	1128
"Jaylin Davis CF  NYM"	24	4	8	7	1	0	0	2	3	11	0	0	.333	.407	.375	1132
"Luke Raley RF  TB "	61	7	12	9	2	0	1	4	7	24	0	0	.197	.306	.279	1150
"Khalil Lee RF  NYM"	2	1	1	0	0	0	1	3	0	0	0	0	.500	.500	2.000	1152
"Terrance Gore CF  NYM"	7	1	1	1	0	0	0	0	0	3	3	0	.143	.143	.143	1158
"Alec Burleson RF  STL "	48	4	9	7	1	0	1	3	5	9	1	0	.188	.264	.271	1165
