All Players   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank,
Old Dirty Bugg,Alex Wood SP | SF,153,29,29,9,0,10,10,0,0,0,154,39,148,3.77,1.22,360
Floaters and Sinkers,Jose Quintana SP | NYM ,145,29,29,8,0,5,5,0,0,0,135,33,128,2.85,1.11,367
W ,Wade Miley SP | MIL,155,29,29,14,1,10,6,0,0,0,122,50,142,3.19,1.24,373
Disco Bush Horticulturists,Corey Kluber SP | BOS ,166,30,30,15,0,10,9,0,0,0,156,43,161,3.96,1.23,378
W ,Aaron Civale SP | CLE,148,29,29,10,0,10,9,0,0,0,134,37,138,3.83,1.18,381
W ,Taijuan Walker SP | PHI,160,29,29,13,0,12,6,0,0,0,138,45,156,3.99,1.26,386
W ,Giovanny Gallegos RP | STL,75,74,0,0,0,4,3,11,2,27,88,21,49,2.88,0.93,391
W ,Paul Blackburn SP | OAK ,162,30,30,5,0,8,10,0,0,0,123,37,151,3.39,1.16,392
W ,Johnny Cueto SP | MIA,160,26,26,17,1,10,9,0,0,0,116,43,152,3.49,1.22,402
W ,Michael King RP | NYY,86,50,0,0,0,7,5,1,0,23,97,28,63,2.62,1.06,404
Disco Bush Horticulturists,Nick Pivetta SP | BOS ,160,29,29,11,1,9,9,0,0,0,159,53,154,3.77,1.29,409
W ,Will Smith RP | TEX,65,67,0,0,0,2,3,30,6,3,74,27,56,3.60,1.28,416
Disco Bush Horticulturists,Eduardo Rodriguez SP | DET,158,30,30,15,0,10,8,0,0,0,148,50,154,3.87,1.29,418
W ,Justin Steele SP | CHC,145,29,29,9,0,6,8,0,0,0,148,55,128,3.10,1.26,419
W ,Marco Gonzales SP | SEA,170,29,29,18,0,11,10,0,0,0,109,47,168,3.60,1.26,435
Tittys Warriors,Nick Martinez RP | SD,151,29,29,9,0,8,7,0,0,0,144,50,141,3.64,1.26,436
