All Players 3 Year Averages MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Michael Kopech SP  CHW "	63.0	23	10	3	0	3	4	0	0	5	69	27	46	3.57	1.16	434
"Trevor Rogers SP  MIA "	89.1	18	18	5	0	4	7	0	0	0	101	35	85	4.13	1.34	435
"Aaron Loup RP  LAA "	46.2	51	1	0	0	3	2	0	3	13	44	14	36	2.51	1.07	437
"Mychal Givens RP  BAL"	45.0	45	0	0	0	4	2	4	3	8	50	21	38	3.40	1.31	439
"Daniel Hudson RP  LAD "	32.1	33	0	0	0	3	3	5	3	8	44	11	24	3.62	1.08	440
"Zach Jackson RP  OAK"	48.0	54	0	0	0	2	3	3	3	26	67	33	28	3.00	1.27	441
"Eduardo Rodriguez SP  DET"	83.0	16	16	6	0	6	4	0	0	0	86	27	86	4.45	1.36	442
"Jack Flaherty SP  STL "	51.2	12	11	4	0	5	2	0	0	0	56	21	42	3.83	1.22	443
"Griffin Jax RP  MIN"	77.1	42	7	1	0	6	4	0	3	9	72	24	69	4.89	1.20	444
"Ryan Tepera RP  LAA"	46.1	48	0	0	0	2	2	3	3	13	51	17	31	3.30	1.04	445
"Peter Fairbanks RP  TB"	31.0	33	1	0	0	3	3	4	1	9	44	13	25	2.61	1.23	449
"Reynaldo Lopez RP  CHW"	49.2	30	6	0	0	4	4	0	2	3	47	13	40	3.62	1.07	450
"Evan Phillips RP  LAD"	30.1	29	0	0	0	3	2	1	1	7	36	10	19	2.08	0.96	453
"Ron Marinaccio RP  NYY "	44.0	40	0	0	0	1	0	0	0	6	56	24	22	2.05	1.05	456
"JP Sears SP  OAK "	70.0	17	11	2	0	6	3	0	0	0	51	23	67	3.86	1.29	457
"Anthony DeSclafani SP  SF "	73.1	15	14	5	1	5	4	0	0	0	65	21	72	4.05	1.27	460
"David Peterson SP  NYM "	74.0	18	14	4	0	5	4	0	0	0	78	34	64	4.26	1.32	462
"Anthony Bender RP  MIA "	40.1	41	0	0	0	2	2	4	2	8	44	14	31	2.90	1.12	466
"Jason Adam RP  TB"	29.1	31	0	0	0	2	1	3	1	8	38	10	17	2.45	0.92	468
"Hayden Wesneski SP  CHC "	33.0	6	4	3	0	3	2	0	0	0	33	7	24	2.18	0.94	470
