Free Agent Catchers  Season   Projections Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
W ,Seth Conner C | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Chace Numata C | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jordan Wideman C | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Luis De La Cruz C | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Hank Conger C | TB,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Aramis Garcia C | SF,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Eliezer Alfonzo C | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Austin Allen C | SD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Brian Peterson C | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Matt Wallach C | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jayson Hernandez C | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Michael McKenry C | STL ,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Jon Talley C | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Xavier Fernandez C | KC,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Dave Freitas C | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Luke Bailey C | TB,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Arturo Rodriguez C | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Will Remillard C | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
W ,Adrian Nieto C | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,9999
