All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Aaron Bummer RP  CHW"	56	67	0	0	0	3	3	1	0	26	79	29	44	3.70	1.30	683
"Dinelson Lamet RP  SD"	50	25	13	3	0	3	4	0	0	0	60	19	39	3.24	1.16	685
"Julian Merryweather RP  TOR"	63	59	0	0	0	1	3	5	1	8	61	22	55	3.14	1.22	689
"Alex Vesia RP  LAD"	42	55	0	0	0	3	0	1	0	12	60	27	24	3.21	1.21	690
"Mitch White RP  LAD"	42	20	7	2	0	4	2	0	0	0	39	14	30	3.21	1.05	692
"Garrett Crochet RP  CHW"	55	64	0	0	0	2	4	1	0	13	71	27	47	2.62	1.35	693
"Kwang Hyun Kim SP  STL "	51	25	13	3	0	4	4	0	0	0	33	16	41	2.82	1.12	698
"Trevor Stephan RP  CLE"	75	54	0	0	0	4	2	1	0	7	85	35	66	4.20	1.35	699
"Tony Santillan RP  CIN "	59	53	0	0	0	1	2	1	0	6	76	28	46	2.90	1.25	700
"Erik Swanson RP  SEA"	55	28	16	4	0	4	5	0	0	1	55	15	46	4.25	1.11	707
"Tanner Rainey RP  WAS "	58	81	0	0	0	1	3	15	4	3	89	38	44	6.05	1.41	708
"Josh Sborz RP  TEX"	76	83	0	0	0	5	3	1	0	13	95	44	71	4.26	1.51	709
"Tyler Wells RP  BAL "	49	23	12	4	0	3	5	0	0	0	64	12	39	4.59	1.04	710
"Spencer Patton RP  TEX"	78	81	0	0	0	2	3	1	0	25	95	30	71	4.15	1.29	715
"Ryan Burr RP  CHW"	58	61	0	0	0	2	2	1	0	6	51	32	43	2.33	1.29	716
"Pedro Baez RP  HOU"	42	46	0	0	0	1	1	1	0	12	39	14	22	2.79	0.86	718
"Aaron Ashby RP  MIL "	50	23	12	3	0	4	3	0	0	0	55	18	39	4.32	1.14	720
"Zack Littell RP  SF"	54	60	0	0	0	3	1	1	0	7	55	20	46	3.50	1.22	721
"Anthony Bass RP  MIA"	53	66	0	0	0	2	3	7	1	19	50	21	46	3.91	1.26	722
"Chris Stratton RP  PIT"	34	31	0	0	0	2	1	9	2	4	39	15	31	3.71	1.35	727
"Joe Kelly RP  CHW "	44	58	0	0	0	2	1	1	0	14	51	17	33	3.07	1.14	730
"Adam Cimber RP  TOR"	47	56	0	0	0	3	2	1	0	6	33	11	43	2.68	1.15	731
"Jose Quintana RP  PIT"	117	26	26	4	0	3	8	0	0	0	106	44	113	4.15	1.34	732
"Brett Martin RP  TEX"	72	81	0	0	0	4	3	1	0	15	54	22	82	2.88	1.44	735
"Scott Effross RP  CHC"	45	49	0	0	0	3	2	1	0	10	57	8	44	4.20	1.16	737
