All Starting Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Paolo Espino SP  WAS"	78	25	17	1	0	6	3	0	0	0	66	20	76	4.04	1.23	629
"Ryan Yarbrough SP  TB"	67	25	15	5	0	5	4	0	0	1	47	10	58	4.03	1.01	637
"Randy Dobnak RP  MIN"	145	26	26	4	0	10	13	0	0	0	80	48	146	4.59	1.34	643
"Reynaldo Lopez RP  CHW"	54	25	13	1	0	4	6	0	0	0	46	14	38	3.67	0.96	646
"Jesus Luzardo SP  MIA"	130	26	26	5	0	6	12	0	0	0	118	48	128	4.57	1.35	656
"Johnny Cueto SP  SF"	74	41	0	0	0	5	2	1	0	11	57	19	71	3.89	1.22	665
"Rich Hill SP  BOS"	140	29	29	7	0	7	7	0	0	0	126	57	146	4.50	1.45	681
"Dinelson Lamet RP  SD"	50	25	13	3	0	3	4	0	0	0	60	19	39	3.24	1.16	685
"Michael Pineda SP  DET "	54	25	14	4	0	5	5	0	0	1	43	10	54	3.50	1.19	687
"Danny Duffy SP  LAD "	33	18	9	2	0	5	2	0	0	0	30	11	25	2.73	1.09	688
"Kyle Muller SP  ATL"	50	25	13	2	0	5	4	0	0	1	45	20	38	3.78	1.16	691
"Kwang Hyun Kim SP  STL "	51	25	13	3	0	4	4	0	0	0	33	16	41	2.82	1.12	698
"Bryce Elder SP  ATL"	50	25	13	4	0	5	4	0	0	1	45	17	42	3.96	1.18	706
"Jordan Lyles SP  BAL"	168	30	30	13	0	8	13	0	0	0	127	53	181	4.93	1.39	712
"Luke Weaver SP  ARI"	135	29	29	6	0	7	13	0	0	0	115	49	143	4.73	1.42	714
"Cole Hamels SP  LAD"	47	25	12	4	0	5	3	0	0	1	41	16	39	4.02	1.17	717
"Jose Quintana RP  PIT"	117	26	26	4	0	3	8	0	0	0	106	44	113	4.15	1.34	732
"Chris Archer SP  TB"	56	25	15	3	0	4	3	0	0	1	51	19	47	4.02	1.18	733
"Jake Odorizzi SP  HOU"	58	24	14	1	0	4	4	0	0	0	48	17	53	4.04	1.21	764
"Cody Poteet SP  MIA "	50	25	13	3	0	4	5	0	0	1	47	20	41	4.14	1.22	770
"J.T. Brubaker SP  PIT"	81	45	0	0	0	4	3	1	0	13	85	25	79	5.22	1.28	778
"MacKenzie Gore SP  SD"	50	25	13	4	0	4	4	0	0	1	48	18	45	4.14	1.26	781
"Max Kranick SP  PIT"	127	26	26	5	0	6	9	0	0	0	102	49	130	4.75	1.41	785
"Pedro Avila SP  SD"	50	25	13	4	0	4	4	0	0	1	49	19	45	4.14	1.28	786
"Ryan Pepiot SP  LAD"	36	21	8	3	0	4	2	0	0	0	32	12	30	3.75	1.17	787
"Keegan Akin SP  BAL "	127	26	26	3	0	4	11	0	0	0	104	46	125	4.61	1.35	789
"Adrian Sampson SP  CHC "	48	25	12	4	0	3	5	0	0	0	43	15	43	3.56	1.21	791
"Matt Brash SP  SEA"	45	23	11	4	0	4	4	0	0	1	43	16	40	4.20	1.24	794
"Chris Paddack SP  SD "	50	25	13	4	0	4	6	0	0	1	43	9	50	4.50	1.18	795
"Luis Gil SP  NYY"	40	22	10	3	0	3	3	0	0	1	41	17	32	3.60	1.23	800
"Brett Anderson SP  MIL"	50	25	13	2	0	4	4	0	0	1	28	12	47	3.78	1.18	801
"Grant Holmes SP  OAK"	55	55	0	0	0	2	2	1	0	9	51	19	47	3.93	1.20	802
"David Peterson SP  NYM"	48	25	12	5	0	4	4	0	0	1	43	20	39	4.50	1.23	805
"Jake Woodford RP  STL "	44	22	10	2	0	4	4	0	0	0	30	14	39	3.89	1.20	807
"Michael King RP  NYY"	57	23	11	2	0	3	6	0	0	0	53	21	51	4.11	1.26	808
"Tylor Megill SP  NYM"	42	23	11	2	1	3	4	0	0	1	43	12	38	4.07	1.19	809
"Elijah Morgan SP  CLE"	46	25	12	3	0	4	5	0	0	1	38	10	42	4.89	1.13	815
"Ross Stripling SP  TOR "	50	25	12	2	0	4	4	0	0	0	42	14	47	4.68	1.22	821
"Drew Smyly SP  CHC "	50	25	12	3	0	4	4	0	0	0	50	16	51	4.50	1.34	823
"David Price RP  LAD "	48	25	12	2	0	4	2	0	0	0	35	16	48	3.75	1.33	826
"Josh Rogers SP  WAS "	51	24	13	4	0	4	5	0	0	1	48	20	50	4.24	1.37	827
"Matthew Boyd SP  DET "	35	18	9	3	0	3	3	0	0	0	29	9	30	3.86	1.11	829
"Hunter Greene SP  CIN"	49	25	13	4	0	3	5	0	0	1	48	18	45	4.22	1.29	831
"Nick Lodolo SP  CIN "	49	25	13	4	0	3	5	0	0	1	48	18	45	4.22	1.29	831
"Yonny Chirinos SP  TB "	37	17	10	3	0	3	2	0	0	0	33	13	33	3.65	1.24	835
"Wily Peralta SP  DET "	43	22	10	3	0	3	3	0	0	1	26	17	39	2.93	1.30	840
"Adbert Alzolay SP  CHC "	36	17	8	2	0	3	4	0	0	0	37	11	31	4.50	1.17	841
"Kris Bubic SP  KC"	135	26	26	11	0	5	11	0	0	0	108	57	144	4.47	1.49	843
"John Gant SP  MIN"	52	25	14	1	0	4	6	0	0	1	44	32	43	3.98	1.44	847
"Mitch Keller SP  PIT "	124	27	27	2	0	6	12	0	0	0	94	53	135	4.50	1.52	851
"Carlos Martinez SP  SF "	49	25	13	5	0	5	5	0	0	1	31	18	41	5.33	1.20	852
"Jake Latz SP  TEX"	46	22	11	3	0	3	4	0	0	1	46	17	43	4.50	1.30	857
"Dillon Peters SP  PIT "	55	25	15	3	0	3	5	0	0	1	54	21	54	4.42	1.36	859
"Sam Long SP  SF"	37	20	8	2	0	3	2	0	0	0	32	12	31	4.62	1.16	861
"Tyler Alexander RP  DET "	114	26	26	5	0	1	9	0	0	0	86	28	120	4.26	1.30	864
"Graham Ashcraft SP  CIN"	39	22	9	3	0	3	4	0	0	1	39	15	36	4.38	1.31	866
"Edward Cabrera SP  MIA"	45	23	11	3	0	3	4	0	0	1	42	21	38	4.40	1.31	867
"Caleb Smith RP  ARI"	59	25	13	3	0	3	6	0	0	0	68	35	48	4.88	1.41	869
"Jhonathan Diaz SP  LAA"	26	15	0	0	0	4	3	0	0	4	26	11	25	4.50	1.38	870
"Nick Margevicius SP  SEA "	51	25	13	4	0	4	4	0	0	1	44	20	45	5.29	1.27	871
"Griffin Jax SP  MIN "	55	25	14	3	0	4	5	0	0	1	42	17	48	5.56	1.18	872
"Kolby Allard SP  TEX"	69	25	15	5	0	3	6	0	0	1	58	19	65	5.22	1.22	873
"Domingo German SP  NYY "	35	17	9	3	0	2	3	0	0	0	32	9	29	4.37	1.09	875
"Thomas Hatch SP  TOR "	36	20	7	2	0	3	3	0	0	0	28	18	28	4.00	1.28	878
"Hans Crouse SP  PHI"	39	23	10	3	0	3	4	0	0	1	36	17	34	4.38	1.31	879
"J.A. Happ SP  STL"	49	25	13	3	0	4	4	0	0	1	36	14	49	4.96	1.29	882
"Robbie Erlin SP  LAD "	39	22	9	2	0	3	2	0	0	0	34	11	35	5.08	1.18	888
"Mike Fiers SP  OAK"	48	25	13	5	0	4	6	0	0	1	32	15	50	4.50	1.35	890
"Vince Velasquez SP  CHW "	49	25	13	2	0	3	4	0	0	0	50	22	41	5.33	1.29	895
"Trevor Williams SP  NYM"	51	25	12	2	0	3	4	0	0	0	46	17	55	4.41	1.41	897
"Jake Junis RP  SF "	51	25	13	2	0	3	4	0	0	0	44	13	53	4.94	1.29	898
