All Players   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Jon Gray SP  TEX"	146	26	26	11	1	10	6	0	0	0	138	50	137	3.70	1.28	409
"Dane Dunning SP  TEX "	147	26	26	12	0	10	5	0	0	0	123	49	136	3.55	1.26	412
"Louie Varland SP  MIN "	139	25	25	11	0	12	5	0	0	0	140	43	136	4.40	1.29	425
"Ryan Pressly RP  HOU "	67	65	0	0	0	6	2	5	1	7	75	16	45	2.82	0.91	428
"Alek Manoah SP  TOR "	143	26	26	13	0	10	8	0	0	0	129	49	134	3.71	1.28	429
"Jordan Wicks SP  CHC "	153	29	29	12	0	10	9	0	0	0	131	47	145	3.88	1.25	432
"Jack Flaherty SP  DET"	154	29	29	9	0	8	10	0	0	0	149	53	143	3.68	1.27	434
"Edward Cabrera SP  MIA"	124	26	26	5	0	8	8	0	0	0	138	52	98	3.85	1.21	435
"Clarke Schmidt SP  NYY "	144	29	29	5	0	10	6	0	0	0	137	37	143	4.19	1.25	448
"Reynaldo Lopez RP  ATL "	131	26	26	10	0	9	6	0	0	0	156	43	132	3.98	1.34	452
"Miles Mikolas SP  STL"	172	28	28	15	0	9	9	0	0	0	122	38	171	3.82	1.22	455
"Casey Mize SP  DET "	161	29	29	11	0	7	10	0	0	0	151	48	149	3.91	1.22	458
"Ranger Suarez SP  PHI"	159	29	29	13	0	8	7	0	0	0	143	45	154	3.85	1.25	460
"Trevor Rogers SP  MIA "	124	26	26	6	0	12	7	0	0	0	123	45	121	4.14	1.34	463
"Frankie Montas RP  CIN"	163	29	29	12	0	9	9	0	0	0	154	53	154	4.20	1.27	465
"Wade Miley SP  MIL"	154	30	30	12	0	10	6	0	0	0	108	50	137	3.97	1.21	474
"Aaron Ashby SP  MIL "	141	29	29	5	0	6	7	0	0	0	164	54	136	3.51	1.35	479
"Kyle Gibson SP  STL"	168	29	29	16	0	11	8	0	0	0	133	45	176	4.23	1.32	491
