All Relief Pitchers 2023  Season MLB Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	HD	K	BB	H	ERA	WHIP	Rank	
"Huascar Brazoban RP  MIA "	58.2	50	0	0	0	5	2	0	2	13	65	31	53	4.14	1.43	607
"Carmen Mlodzinski RP  PIT"	36.0	35	1	0	0	3	3	1	1	10	34	18	28	2.25	1.28	611
"Steven Okert RP  MIN "	58.2	64	2	0	0	3	2	0	2	12	73	24	50	4.45	1.26	612
"Scott Alexander RP  OAK "	48.1	55	8	0	0	7	3	1	1	6	31	11	55	4.66	1.37	614
"Zack Thompson RP  STL"	66.1	25	9	1	0	5	7	0	0	1	72	25	69	4.48	1.42	616
"Derek Law RP  WAS "	55.0	54	3	0	0	4	6	2	1	3	45	26	50	3.60	1.38	620
"Angel Perdomo RP  ATL "	29.0	30	0	0	0	3	2	0	0	6	44	11	21	3.72	1.10	621
"Nate Pearson RP  TOR "	42.2	35	0	0	0	5	2	1	1	3	43	18	36	4.85	1.27	627
"Joe Kelly RP  LAD"	39.1	42	0	0	0	2	5	1	5	14	60	18	29	4.12	1.19	632
"Garrett Whitlock RP  BOS "	71.2	22	10	3	0	5	5	1	1	3	72	13	82	5.15	1.33	633
"Alex Young RP  CIN "	53.2	63	0	0	0	4	2	1	2	14	50	20	53	3.86	1.36	635
"Robert Suarez RP  SD "	27.2	26	0	0	0	4	3	0	3	8	24	10	15	4.23	0.90	636
"Michael Fulmer RP  BOS "	57.0	58	1	0	0	3	5	2	3	11	65	28	48	4.42	1.33	637
"Fernando Cruz RP  CIN"	66.0	58	2	0	0	1	2	0	0	7	98	28	52	4.91	1.21	638
"Brennan Bernardino RP  BOS"	50.2	55	6	0	0	2	1	0	0	4	58	18	48	3.20	1.30	639
"John Brebbia RP  CHW "	38.1	40	10	0	0	3	5	0	1	7	47	14	31	3.99	1.17	640
"Daniel Palencia RP  CHC"	28.1	27	0	0	0	5	3	0	1	2	33	14	22	4.45	1.27	642
"Abner Uribe RP  MIL"	30.2	32	0	0	0	1	0	1	1	8	39	20	16	1.76	1.17	644
"Phil Bickford RP  NYM "	67.1	61	0	0	0	5	5	1	0	4	76	39	59	4.95	1.46	646
"Hayden Wesneski RP  CHC "	89.1	34	11	3	0	3	5	0	1	2	83	32	82	4.63	1.28	649
"Sam Hentges RP  CLE"	52.1	56	0	0	0	3	2	0	1	17	56	18	53	3.61	1.36	650
"Trevor Richards RP  TOR"	72.2	56	3	0	0	2	1	0	2	11	105	35	63	4.95	1.35	651
"Jimmy Cordero RP  NYY"	32.2	31	1	0	0	3	2	0	0	8	34	10	25	3.86	1.07	656
"Ryne Stanek RP  HOU"	50.2	55	0	0	0	3	1	0	1	3	51	21	42	4.08	1.24	657
"Luke Jackson RP  SF"	33.1	33	0	0	0	2	2	0	0	4	43	15	26	2.97	1.23	663
"Cionel Perez RP  BAL "	53.1	65	0	0	0	4	2	3	0	11	44	27	56	3.54	1.56	666
"Tayler Saucedo RP  SEA"	47.2	52	0	0	0	3	2	1	1	3	43	23	41	3.59	1.34	667
"Pedro Avila SP  SD"	50.1	14	6	1	0	2	2	0	0	0	54	25	43	3.22	1.35	668
"Alex Wood RP  OAK "	97.2	29	12	0	0	5	5	0	0	1	74	42	98	4.33	1.43	671
"Austin Pruitt RP  TEX"	48.1	38	6	0	0	2	6	0	1	4	30	12	44	2.98	1.16	672
"Steven Wilson RP  SD"	53.0	52	0	0	0	1	2	0	1	22	57	27	35	3.91	1.17	676
"Victor Gonzalez RP  NYY"	33.2	34	1	0	0	3	3	0	0	4	30	10	27	4.01	1.10	677
"Jacob Bird RP  COL"	89.1	70	3	0	0	3	3	0	5	13	77	27	94	4.33	1.35	678
"Jose Cuas RP  CHC"	65.1	72	2	0	0	3	2	1	2	10	71	35	63	4.00	1.50	679
"Brad Hand RP  ATL"	53.2	60	0	0	0	5	3	1	1	5	59	22	54	5.53	1.42	686
"Jacob Webb RP  BAL "	53.2	54	0	0	0	1	1	1	0	12	57	30	39	3.69	1.29	689
"Cody Bradford RP  TEX "	56.0	20	8	0	0	4	3	0	0	0	51	12	56	5.30	1.21	690
"Xzavion Curry RP  CLE"	95.0	41	9	1	0	3	4	0	0	0	67	30	98	4.07	1.35	691
""Drey Jameson RP  ARI ""	40.2	15	3	0	0	3	1	1	0	1	37	18	40	3.32	1.43	692
"Genesis Cabrera RP  TOR"	55.2	61	0	0	0	2	1	0	3	11	58	24	49	4.04	1.31	695
"Alex Vesia RP  LAD"	49.2	56	1	0	0	2	5	1	1	10	64	17	52	4.35	1.39	697
"Tyler Alexander RP  TB "	44.0	25	1	0	0	2	1	0	0	2	44	5	44	4.50	1.11	702
"Randy Vasquez SP  SD"	37.2	11	5	0	0	2	2	0	0	0	33	18	30	2.87	1.27	704
"Peter Strzelecki RP  ARI"	37.0	37	0	0	0	3	5	0	1	14	37	12	33	4.38	1.22	705
"Andrew Wantz RP  LAA"	39.1	27	3	0	0	2	0	0	0	4	33	15	28	3.89	1.09	707
"Kody Funderburk RP  MIN"	12.0	11	0	0	0	2	0	0	0	2	19	5	6	0.75	0.92	708
"DL Hall RP  MIL "	19.1	18	0	0	0	3	0	0	1	2	23	5	18	3.26	1.19	710
"Grant Hartwig RP  NYM"	35.1	28	0	0	0	5	2	0	0	2	30	15	34	4.84	1.39	711
"Trent Thornton RP  SEA"	31.1	27	1	0	0	1	2	0	1	4	26	6	30	2.01	1.15	716
"John Schreiber RP  KC "	46.2	46	2	0	0	2	1	1	2	10	53	25	41	3.86	1.41	717
"Jake Diekman RP  NYM "	56.2	63	0	0	0	0	2	0	2	8	64	38	37	3.33	1.32	718
"Jose Soriano RP  LAA"	42.0	38	0	0	0	1	3	0	1	15	56	23	33	3.64	1.33	721
"Robert Garcia RP  WAS"	32.0	25	0	0	0	2	2	0	0	5	33	12	26	3.66	1.19	724
"James McArthur RP  KC"	23.1	18	2	0	0	1	0	4	0	2	23	2	20	4.63	0.94	726
"James Karinchak RP  CLE "	39.0	44	0	0	0	2	5	0	0	13	52	28	25	4.15	1.36	727
"Nick Ramirez RP  NYY"	40.2	32	0	0	0	1	2	1	1	2	28	9	41	2.66	1.23	728
"Rich Hill SP  SD"	146.1	32	27	7	0	8	14	0	1	0	129	58	165	5.41	1.52	730
"Lucas Erceg RP  OAK"	55.0	50	0	0	0	4	4	0	2	11	68	36	51	4.75	1.58	740
"Trevor Megill RP  MIL"	34.2	31	2	0	0	1	0	0	0	4	52	12	35	3.63	1.36	744
"Beau Brieske RP  DET"	35.0	25	1	0	0	2	3	2	0	5	31	12	36	3.60	1.37	746
"Ryan Thompson RP  ARI"	30.2	31	0	0	0	1	2	1	1	8	21	8	20	3.81	0.91	748
"Carlos Hernandez RP  KC "	70.0	67	4	0	0	1	10	4	6	17	77	31	62	5.27	1.33	749
"Jorge Lopez RP  NYM"	59.0	61	0	0	0	6	2	3	2	10	49	22	67	5.95	1.51	752
"Andres Machado RP  WAS"	50.0	44	0	0	0	4	1	0	1	4	43	13	53	5.22	1.32	754
"Andrew Vasquez RP  DET"	48.1	42	0	0	0	2	1	0	0	2	43	23	46	3.35	1.43	755
"Bryce Jarvis RP  ARI"	23.2	11	1	0	0	2	1	0	0	0	12	9	14	3.04	0.97	757
"Daniel Duarte RP  MIN "	31.2	31	0	0	0	3	0	1	0	2	23	20	24	3.69	1.39	758
"Miguel Diaz RP  DET"	14.0	12	3	0	0	1	0	0	0	2	16	5	8	0.64	0.93	761
"Andre Jackson RP  PIT"	61.1	19	7	0	0	1	3	2	0	1	57	22	52	4.99	1.21	762
"Colin Holderman RP  PIT"	56.0	58	0	0	0	0	3	2	3	27	58	20	55	3.86	1.34	765
"Bryan Shaw RP  CHW "	45.2	38	0	0	0	0	0	4	1	4	40	17	39	4.14	1.23	766
"Jose Cisnero RP  LAA "	59.1	63	0	0	0	3	4	2	2	14	70	25	63	5.31	1.48	768
"Cole Irvin SP  BAL "	77.1	24	12	1	0	1	4	0	0	1	68	21	78	4.42	1.28	769
"Tanner Banks RP  CHW"	61.0	32	3	0	0	1	4	1	1	1	51	16	59	4.43	1.23	770
"JT Chargois RP  MIA"	42.1	46	5	0	0	1	0	1	2	4	35	18	35	3.61	1.25	773
"Ben Lively SP  CLE"	88.2	19	12	2	0	4	7	0	0	0	79	25	96	5.38	1.36	774
"Angel Zerpa RP  KC"	42.2	15	3	0	0	3	3	0	0	2	36	8	46	4.85	1.27	775
"Luis Garcia RP  LAA"	59.2	61	0	0	0	2	3	0	3	10	53	24	59	4.07	1.39	776
"Zach Jackson RP  OAK "	18.0	19	0	0	0	2	1	1	1	1	23	10	18	2.50	1.56	779
"Rafael Montero RP  HOU"	67.1	68	0	0	0	3	3	1	3	10	79	29	74	5.08	1.53	783
"Joe Mantiply RP  ARI"	39.0	35	3	0	0	2	2	0	0	1	28	9	35	4.62	1.13	785
"Penn Murfee RP  ATL "	14.0	16	0	0	0	1	2	0	1	1	16	10	5	1.29	1.07	787
"Yency Almonte RP  CHC"	48.0	49	0	0	0	3	2	0	1	10	49	24	43	5.06	1.40	788
"George Soriano RP  MIA"	52.0	26	1	0	0	0	0	1	1	0	52	23	46	3.81	1.33	792
"Chad Green RP  TOR"	12.0	12	0	0	0	3	0	0	0	2	16	4	12	5.25	1.33	795
"Collin McHugh RP  ATL "	58.2	41	1	0	0	4	1	0	1	7	47	22	70	4.29	1.57	796
"Andrew Kittredge RP  STL"	11.2	14	0	0	0	2	0	1	0	1	10	2	12	3.09	1.20	799
"David Peterson SP  NYM "	111.0	27	21	4	1	3	8	0	0	1	128	50	124	5.03	1.57	800
"Drew Carlton RP  SD"	20.2	11	0	0	0	2	1	0	2	0	18	6	18	4.36	1.16	810
"Aaron Bummer RP  ATL"	58.1	61	0	0	0	5	5	0	2	15	78	36	53	6.79	1.53	811
"Raymond Kerr RP  ATL"	27.0	22	0	0	0	1	1	0	1	0	35	9	25	4.33	1.26	812
"Shintaro Fujinami RP  NYM "	79.0	64	7	1	0	7	8	2	3	5	83	45	73	7.18	1.49	816
"Daniel Bard RP  COL "	49.1	50	0	0	0	4	2	1	2	6	47	49	35	4.56	1.70	817
"Josh Winder RP  MIN "	34.2	19	0	0	0	2	1	1	0	1	28	14	35	4.15	1.41	818
"Matt Koch RP  COL"	38.2	39	1	0	0	3	2	0	1	6	27	9	41	5.12	1.29	820
"Jose Hernandez RP  PIT"	50.2	50	0	0	0	1	3	0	1	5	62	22	47	4.97	1.36	821
"Brendan White RP  DET "	40.2	33	2	0	0	2	3	0	0	1	44	15	40	5.09	1.35	823
"Jeff Brigham RP  MIN "	37.2	37	0	0	0	1	3	0	1	6	42	18	26	5.26	1.17	824
"Keegan Thompson RP  CHC"	28.2	19	0	0	0	2	2	1	0	3	26	19	20	4.71	1.36	826
"Dakota Hudson SP  COL"	81.1	18	12	4	0	6	3	0	0	1	45	34	88	4.98	1.50	828
"Sean Newcomb RP  OAK "	15.0	7	2	0	0	1	1	0	0	0	17	9	8	3.00	1.13	829
"Trevor Gott RP  OAK "	58.0	64	0	0	0	0	5	1	5	10	62	19	63	4.19	1.41	832
"Brent Headrick RP  MIN"	25.2	14	0	0	0	3	0	1	1	0	30	10	27	6.31	1.44	833
