All Outfielders 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Bowker, John LF PHI	-	Free Agent	30	0	4	3	1	0	0	2	2	11	0	1	0.1333	0.1875	0.1667	1279
Michaels, Jason LF WAS 	-	Free Agent	156	10	31	20	9	0	2	10	11	31	1	0	0.1987	0.2560	0.2949	1285
Amarista, Alexi 2B LAA	-	Free Agent	52	2	8	4	3	1	0	5	2	8	0	0	0.1538	0.1818	0.2500	1298
Amezaga, Alfredo 2B MIA	-	Free Agent	77	6	14	13	1	0	0	4	7	14	0	0	0.1818	0.2471	0.1948	1301
Willits, Reggie LF LAA	-	Free Agent	22	0	1	0	1	0	0	1	4	7	0	0	0.0455	0.1923	0.0909	1302
Saunders, Michael LF SEA	-	Free Agent	161	16	24	17	5	0	2	8	12	56	6	2	0.1491	0.2069	0.2174	1323
Colvin, Tyler LF COL 	-	Free Agent	206	17	31	14	8	3	6	20	14	58	0	0	0.1505	0.2036	0.3058	1376
Rahl, Chris LF ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1417
Bell, Billy CF BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1418
Krum, Austin OF NYY	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1419
Vento, Mike LF WAS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1423
Frazier, Alex LF ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1425
Gorneault, Nick LF LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1429
Auer, Tyson CF LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1432
Moss, Steve LF MIL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1433
Henry, C.J. LF PHI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1443
Nava, Daniel RF BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1444
Curry, Mike LF TB	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1447
Whitaker, John LF OAK	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1452
Yelich, Christian LF MIA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1453
James, Jason RF CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1454
Walter, Randy R. LF SF	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1456
Calderone, Adam CF TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1458
Putnam, Danny LF SD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1470
Kjeldgaard, Brock OF MIL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1474
Keowen, Kade LF BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1477
Macias, David CF CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1484
Murphy, Tommy CF KC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1486
Bigley, Evan RF MIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1488
Baez, Lizahio LF TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1499
Cooper, Jason LF CLE	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1511
McQuade, Anthony LF CHC	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1520
Shelby, John CF CHW	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1523
Sherrod, Justin LF BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1527
Gomez, Alexis LF DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1539
Hazelbaker, Jeremy CF BOS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1540
Rodriguez, Yorman CF CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1545
Gose, Anthony CF TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1548
