All Second Basemen 2011 MLB Standard Stats																		
Player	Action	Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank
Green, Taylor 2B MIL	-	Free Agent	37	2	10	7	3	0	0	1	0	6	0	0	0.2703	0.2703	0.3514	949
Valbuena, Luis 2B TOR	-	Free Agent	43	4	9	8	0	0	1	1	1	9	1	0	0.2093	0.2273	0.2791	957
LeMahieu, DJ 2B COL 	-	Free Agent	60	3	15	13	2	0	0	4	1	12	0	0	0.2500	0.2623	0.2833	974
Forsythe, Logan 3B SD	-	Free Agent	150	12	32	22	9	1	0	12	12	33	3	1	0.2133	0.2814	0.2867	984
Everett, Adam 3B CLE	-	Free Agent	60	9	13	12	1	0	0	1	5	14	1	0	0.2167	0.2769	0.2333	1099
Rodriguez, Luis SS SEA	-	Free Agent	117	10	23	11	10	0	2	14	16	21	1	2	0.1966	0.2993	0.3333	1108
Farris, Eric 2B MIL	-	Free Agent	1	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1111
Nishioka, Tsuyoshi SS MIN	-	Free Agent	221	14	50	45	5	0	0	19	15	43	2	4	0.2262	0.2785	0.2489	1116
Gonzalez, Alberto 2B TEX 	-	Free Agent	247	18	53	40	10	2	1	32	13	37	1	2	0.2146	0.2556	0.2834	1121
Inglett, Joe 2B HOU	-	Free Agent	27	3	6	5	1	0	0	1	0	7	0	0	0.2222	0.2222	0.2593	1127
Uribe, Juan 3B LAD 	-	Disco Bush Horticulturists	270	21	55	39	12	0	4	28	17	60	2	0	0.2037	0.2644	0.2926	1149
Kozma, Pete 2B STL	-	Free Agent	17	2	3	2	1	0	0	1	4	4	0	0	0.1765	0.3333	0.2353	1157
Spears, Nate 2B BOS	-	Free Agent	4	0	0	0	0	0	0	0	0	1	0	0	0.0000	0.0000	0.0000	1167
Lopez, Felipe 3B MIL	-	Free Agent	141	12	29	23	4	0	2	11	8	35	1	1	0.2057	0.2467	0.2766	1169
Cora, Alex 3B WAS	-	Free Agent	156	12	35	28	6	1	0	6	12	23	2	0	0.2244	0.2865	0.2756	1173
Lombardozzi, Stephen 2B WAS	-	Free Agent	31	3	6	5	1	0	0	1	1	4	0	0	0.1935	0.2188	0.2258	1189
Woodward, Chris 2B TOR	-	Free Agent	10	3	0	0	0	0	0	0	0	4	0	0	0.0000	0.0000	0.0000	1211
De Jesus, Ivan 2B LAD	-	Free Agent	32	2	6	6	0	0	0	1	2	11	0	0	0.1875	0.2353	0.1875	1213
Phelps, Cord 2B CLE	-	Free Agent	71	10	11	7	2	1	1	6	8	17	1	0	0.1549	0.2405	0.2535	1229
Hu, Chin-lung 2B NYM	-	Free Agent	20	2	1	1	0	0	0	1	1	11	1	0	0.0500	0.0909	0.0500	1234
Emaus, Brad 2B COL	-	Free Agent	37	2	6	6	0	0	0	1	4	9	0	0	0.1622	0.2619	0.1622	1271
Quintanilla, Omar 2B NYM 	-	Free Agent	22	3	1	0	0	1	0	2	0	9	0	0	0.0455	0.0455	0.1364	1283
Pena, Ramiro 3B NYY	-	Free Agent	40	5	4	3	0	0	1	4	2	11	0	0	0.1000	0.1591	0.1750	1286
Janish, Paul SS CIN	-	Free Agent	336	27	72	57	14	1	0	23	18	46	3	2	0.2143	0.2590	0.2619	1291
Tolbert, Matt 2B MIN	-	Free Agent	207	22	41	29	10	2	0	11	11	31	3	2	0.1981	0.2523	0.2657	1295
Amarista, Alexi 2B LAA	-	Free Agent	52	2	8	4	3	1	0	5	2	8	0	0	0.1538	0.1818	0.2500	1298
Amezaga, Alfredo 2B MIA	-	Free Agent	77	6	14	13	1	0	0	4	7	14	0	0	0.1818	0.2471	0.1948	1301
Counsell, Craig 2B MIL	-	Free Agent	157	19	28	24	2	1	1	9	20	21	2	1	0.1783	0.2802	0.2229	1310
Velez, Eugenio 2B LAD 	-	Free Agent	37	5	0	0	0	0	0	1	2	11	1	0	0.0000	0.0750	0.0000	1354
Harman, Brad 2B PHI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1465
Washington, Demetrius 2B LAA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1478
Matsui, Kazuo 2B COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1494
Henry, Justin 2B DET	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1504
Adair, Travis 2B TEX	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1507
Cipriano, William 2B TB	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1528
Anderson, Drew M. 2B CIN	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1563
Hart, Bo 2B COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1571
Castillo, Luis 2B PHI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1575
Hernandez, Luis 2B NYM	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1589
Rouse, Mike 2B CHW	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1592
Sollmann, Steven 2B MIL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1603
Ash, Jonathan 2B MIL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1610
Castro, Ismael 2B SEA	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1612
Boyer, Bradley 2B SF	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1622
Soriano, Francisco 2B WAS	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1651
Nick, David 2B ARI	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1653
Green, Nick 2B TEX 	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1669
Arnold, Eric 2B TOR	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1670
Negrych, James 2B PIT	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1679
Pickler, Jeff B. 2B COL	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1690
Contreras, Rayner 2B SD	-	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1715
