All Starting Pitchers 2011 MLB Standard Stats																
Player	Action	Team	INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank
Porcello, Rick SP DET	-	User Abuser	182.0	31	19	0	14	9	0	0	104	46	210	4.747	1.4066	382
McDonald, James SP PIT	-	Free Agent	171.0	31	15	0	9	9	0	0	142	78	176	4.210	1.4854	383
Buchholz, Clay SP BOS 	-	Disco Bush Horticulturists	82.7	14	6	0	6	3	0	0	60	31	76	3.484	1.2944	388
Morton, Charlie SP PIT 	-	Free Agent	171.7	29	15	2	10	10	0	0	110	77	186	3.827	1.5320	401
Peavy, Jake SP CHW 	-	Free Agent	111.7	18	7	1	7	7	0	0	95	24	117	4.916	1.2627	411
De La Rosa, Jorge SP COL	-	Disco Bush Horticulturists	59.0	10	5	1	5	2	0	0	52	22	48	3.509	1.1864	419
Hernandez, Livan SP WAS	-	Free Agent	175.3	29	15	1	8	13	0	0	99	46	199	4.466	1.3973	421
Burnett, A.J. SP NYY 	-	Blue Crew	190.3	32	10	0	11	11	0	0	173	83	190	5.154	1.4343	425
Detwiler, Ross SP WAS 	-	Free Agent	66.0	10	5	0	4	5	0	0	41	20	63	3.000	1.2576	432
Correia, Kevin SP PIT	-	Free Agent	154.0	26	13	1	12	11	0	0	77	39	175	4.792	1.3896	442
Carrasco, Carlos SP CLE 	-	Free Agent	124.7	21	12	1	8	9	0	0	85	40	130	4.620	1.3636	444
Litsch, Jesse SP TOR 	-	Free Agent	75.0	8	3	0	6	3	1	1	66	28	69	4.440	1.2933	450
Britton, Zach SP BAL 	-	Free Agent	154.3	28	13	0	11	11	0	0	97	62	162	4.607	1.4514	451
Beavan, Blake SP SEA	-	Free Agent	97.0	15	11	0	5	6	0	0	42	15	106	4.268	1.2474	459
Alvarez, Henderson SP TOR 	-	Free Agent	63.7	10	6	0	1	3	0	0	40	8	64	3.534	1.1309	466
Paulino, Felipe SP KC	-	Orange-a-Tangs	139.3	20	9	0	4	10	0	1	133	55	146	4.457	1.4426	468
Arroyo, Bronson SP CIN 	-	Free Agent	199.0	32	15	1	9	12	0	0	108	45	227	5.065	1.3668	472
Nicasio, Juan SP COL 	-	Free Agent	71.7	13	7	0	4	4	0	0	58	18	73	4.144	1.2698	484
Strasburg, Stephen SP WAS	-	Evil Empire	24.0	5	2	0	1	1	0	0	24	2	15	1.500	0.7083	487
Cecil, Brett SP TOR 	-	Free Agent	123.7	20	9	2	4	11	0	0	87	42	122	4.731	1.3261	490
Sanchez, Jonathan SP KC 	-	Orange-a-Tangs	101.3	19	7	0	4	7	0	0	102	66	80	4.263	1.4408	493
Anderson, Brett SP OAK	-	Sofa Kings	83.3	13	7	1	3	6	0	0	61	25	86	3.996	1.3320	500
Zambrano, Carlos SP MIA 	-	Free Agent	145.7	24	13	0	9	7	0	0	101	56	154	4.819	1.4416	503
Hammel, Jason SP COL	-	Floaters and Sinkers	170.3	27	14	0	7	13	1	0	94	68	175	4.755	1.4266	510
Richard, Clayton SP SD 	-	SA`s	99.7	18	7	0	5	9	0	0	53	38	104	3.883	1.4247	513
Millwood, Kevin SP COL 	-	Free Agent	54.3	9	5	0	4	3	0	0	36	8	58	3.975	1.2147	516
De La Rosa, Rubby SP LAD 	-	Free Agent	60.7	10	4	0	4	5	0	1	60	31	54	3.709	1.4011	521
Swarzak, Anthony SP MIN	-	Sofa Kings	102.0	11	8	0	4	7	0	0	55	26	111	4.324	1.3431	522
Wakefield, Tim SP BOS 	-	Free Agent	154.7	23	8	1	7	8	0	0	93	47	163	5.121	1.3578	523
Arrieta, Jake SP BAL 	-	Free Agent	119.3	22	12	0	10	8	0	0	93	59	115	5.053	1.4581	537
Batista, Miguel SP NYM	-	SA`s	60.0	5	3	1	5	2	0	1	31	33	49	3.600	1.3667	539
