All First Basemen  Season   Projections Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Efren,Navarro LF  LAA"	Free Agent	82	8	19	14	5	0	0	8	8	14	1	2	0.2317	0.3000	0.2927	1092
"Daric,Barton 1B  TOR"	Free Agent	91	10	19	15	3	0	1	9	13	21	0	0	0.2088	0.3077	0.2747	1094
"David,Cooper 1B  CLE"	Free Agent	47	5	14	9	4	0	1	4	1	7	0	0	0.2979	0.3125	0.4468	1096
"Ryan,Wheeler 3B  LAA"	Free Agent	69	6	15	11	3	0	1	10	5	15	0	0	0.2174	0.2703	0.3043	1109
"Adam,Duvall 1B  SF"	Free Agent	73	8	14	9	2	0	3	5	3	20	0	0	0.1918	0.2237	0.3425	1122
"Chris,Gimenez C  TEX"	Free Agent	73	8	18	13	5	0	0	7	7	18	0	0	0.2466	0.3125	0.3151	1127
"Ian,Stewart 3B  WAS"	Free Agent	82	8	16	10	2	2	2	8	8	26	0	1	0.1951	0.2667	0.3415	1134
"Chris,Valaika 1B  CHC"	Free Agent	62	5	14	10	3	0	1	7	3	17	0	0	0.2258	0.2615	0.3226	1171
"Dan,Johnson 1B  HOU"	Free Agent	22	5	5	3	1	0	1	4	5	5	0	0	0.2273	0.3704	0.4091	1182
"Matt,McBride LF  COL"	Free Agent	36	5	7	5	1	0	1	6	1	10	0	0	0.1944	0.2162	0.3056	1200
"Brandon,Laird 1B  KC"	Free Agent	35	3	7	4	1	0	2	5	2	11	0	0	0.2000	0.2432	0.4000	1202
"Ryan,Lavarnway 1B  BAL"	Free Agent	80	6	16	10	5	0	1	9	4	20	0	0	0.2000	0.2381	0.3000	1203
"Kila,Ka'aihue 1B  WAS"	Free Agent	43	4	10	6	3	0	1	5	3	9	0	0	0.2326	0.2826	0.3721	1212
"Alex,Liddi 1B  CHW"	Free Agent	44	3	9	6	2	0	1	3	3	19	1	0	0.2045	0.2553	0.3182	1289
"Brad,Snyder 1B  TEX"	Free Agent	30	3	5	2	1	0	2	3	4	10	0	0	0.1667	0.2647	0.4000	1291
"Taylor,Green 1B  MIL"	Free Agent	34	3	6	3	2	0	1	5	3	8	0	0	0.1765	0.2432	0.3235	1328
"Luis,Jimenez 1B  TOR"	Free Agent	47	6	11	8	3	0	0	2	1	14	0	1	0.2340	0.2500	0.2979	1334
"Mat,Gamel 1B  ATL"	Free Agent	23	3	5	4	1	0	0	2	1	5	1	0	0.2174	0.2500	0.2609	1343
"Donald,Lutz OF  CIN"	Free Agent	36	2	8	6	2	0	0	3	1	11	1	0	0.2222	0.2432	0.2778	1378
"Matt,Hague 1B  TOR"	Free Agent	24	2	6	5	1	0	0	2	1	5	0	0	0.2500	0.2800	0.2917	1427
"Matt,LaPorta 1B  BAL"	Free Agent	19	1	5	4	1	0	0	2	0	6	0	0	0.2632	0.2632	0.3158	1446
"Clint,Robinson 1B  WAS"	Free Agent	4	1	1	1	0	0	0	1	0	1	0	0	0.2500	0.2500	0.2500	1501
"Joe,Mahoney 1B  MIA"	Free Agent	11	1	2	2	0	0	0	1	0	1	0	0	0.1818	0.1818	0.1818	1541
"Xavier,Scruggs 1B  STL"	Free Agent	15	0	3	2	1	0	0	2	2	7	0	0	0.2000	0.2941	0.2667	1550
"Luke,Montz 1B  OAK"	Free Agent	14	1	2	0	2	0	0	2	0	4	0	0	0.1429	0.1429	0.2857	1552
"Brad,Hawpe 1B  LAA"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Gaby,Sanchez 1B  PIT"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Greg,Dobbs 1B  WAS"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Shelley,Duncan 1B  ARI"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Adam,Dunn 1B  OAK"	Want-a-be Ghetto All Stars	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Casey,Kotchman 1B  MIA"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Mike,Jacobs 1B  ARI"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Ty,Wigginton 1B  MIA"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Lyle,Overbay 1B  MIL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Raul,Ibanez LF  KC"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Jack,Hannahan 1B  CIN"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Yuniesky,Betancourt 1B  MIL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Carlos,Pena 1B  TEX"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	1567
"Blake,Lalli 1B  ARI"	Free Agent	13	1	2	2	0	0	0	1	0	3	0	0	0.1538	0.1538	0.1538	1609
"Chris,Marrero 1B  BAL"	Free Agent	5	0	1	1	0	0	0	0	0	1	0	0	0.2000	0.2000	0.2000	1626
"Brandon,Allen 1B  NYM"	Free Agent	7	1	0	0	0	0	0	1	1	3	0	0	0.0000	0.1250	0.0000	1632
"Mike,Costanzo 1B  CIN"	Free Agent	6	0	0	0	0	0	0	1	0	3	0	0	0.0000	0.0000	0.0000	1659
"Shane,Peterson 1B  MIL"	Free Agent	4	0	0	0	0	0	0	0	0	2	0	0	0.0000	0.0000	0.0000	1662
"Jason,Rogers 1B  MIL"	Free Agent	9	0	1	0	1	0	0	0	1	1	0	0	0.1111	0.2000	0.2222	1673
"Jesus,Aguilar 1B  CLE"	Free Agent	33	2	4	4	0	0	0	3	4	13	0	0	0.1212	0.2162	0.1212	1675
"Chris,McGuiness 1B  PHI"	Free Agent	17	0	2	2	0	0	0	0	0	6	0	0	0.1176	0.1176	0.1176	1693
"Neftali,Soto 1B  CIN"	Free Agent	14	0	1	1	0	0	0	0	0	5	0	0	0.0714	0.0714	0.0714	1696
"Andy,Wilkins 1B  CHW"	Free Agent	43	2	6	4	2	0	0	2	2	22	0	0	0.1395	0.1778	0.1860	1697
"John,Alonso 1B  MIL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"William,Beckwith 1B  ATL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"James,Robbins 1B  DET"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ronald,Guzman 1B  TEX"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Bryan,Byrne 1B  ARI"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Japhet,Amador 1B  HOU"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Greg,Bird 1B  NYY"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"David,Chester 1B  BOS"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Justin,Bloxom 1B  WAS"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"O'Koyea,Dickson 1B  LAD"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Sam,Travis 1B  BOS"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"A.J.,Kirby-Jones 1B  SD"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ian,Gac 1B  KC"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Luke,Murton 1B  NYY"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Chris,Jacobs 1B  LAD"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Phillip,Wunderlich 1B  TB"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Matt,Olson 1B  OAK"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Ian,Bladergroen 1B  BOS"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Brant,Colamarino 1B  TOR"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Matt,Curry 1B  PIT"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jesus,Cota 1B  ARI"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jeff,Kindel 1B  COL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Jordy,Lara 1B  SEA"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Adam,Abraham 1B  CLE"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Leslie,Anderson 1B  TB"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Aaron,Westlake 1B  DET"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Johan,Limonta 1B  SEA"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"David,Wabick 1B  NYM"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Casey,Gillaspie 1B  TB"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Michael,Jones 1B  BOS"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Tyler,Von Schell 1B  SF"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Garrett,Cooper 1B  MIL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Mark,Fleisher 1B  BAL"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Cesar,Nicolas 1B  DET"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Daniel,Vogelbach 1B  CHC"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
"Travis,Ozga 1B  NYM"	Free Agent	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	9999
