All Second Basemen 3 Year Averages MLB Standard Stats
Player,Team,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
"De Jesus, Ivan 2B PIT ",Free Agent,24,2,5,4,1,0,0,2,2,8,0,0,0.2083,0.2692,0.2500,2489
"Amezaga, Alfredo 2B LAD",Free Agent,26,2,5,5,0,0,0,1,2,5,0,0,0.1923,0.2500,0.1923,2550
"Belnome, Vince 2B TB",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Mateo, Luis 2B STL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Pineda, Jeremias 2B MIN",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Jones, Corey 2B DET",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Moss, Timothy 2B PHI",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Nieves, Luis 2B NYM",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"DeVoss, Zeke 2B CHC",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"King, Tom 2B SD",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Rahmatulla, Tyler 2B STL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Vucinich, Shea 2B MIL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Albano, Marco 2B LAA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Lopez, Gabe 2B NYY",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Sedbrook, Colt 2B STL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Pinckney, Brandon 2B CLE",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Cota, Carlo 2B TOR",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Miclat, Greg 2B TEX",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Gumbs, Angelo 2B NYY",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Corona, Reegie 2B NYY",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Douglas, Andrew 2B CHW",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Bonilla, Leury 2B SEA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Linares, Miguel 2B DET",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Aponte, Francisco 2B PIT",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Dent, Ryan 2B BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Washington, Demetrius 2B LAA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Gonzalez, Felix 2B TB",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Nelson, Jon 2B SEA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Yarbrough, Alex 2B LAA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Rosario, Eddie 2B MIN ",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Romero, Niuman 2B BAL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Labarbera, Anthony 2B SF",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Granadillo, Tony 2B BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Manuel, Anthony 2B NYM",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Henry, Justin 2B BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Stromsmoe, Skyler 2B SF",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Adair, Travis 2B BAL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Figueroa, Daniel 2B BAL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Cartwright, Albert 2B PHI",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Lawson, Matthew 2B CLE",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Katoh, Gosuke 2B NYY",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Gray, Antoin 2B CHW",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Hernandez, Fidel 2B PHI",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Ricks, Adam 2B CHW",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Pellot, Hector 2B NYM",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Romero, Nicholas 2B MIN",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Chang, Ray 2B CIN",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Cipriano, William 2B TB",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Torrez, Raoul 2B HOU",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Miller, Justin 2B SD",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Feliz, Anderson 2B NYY",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Brewer, Tadd 2B LAA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Toussen, Jose 2B NYY",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Gonzalez, David 2B DET",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Toussaint, Andrew 2B LAA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Dominguez, Drew 2B BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Johnson, Micah 2B CHW ",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Coyle, Thomas 2B TB",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Travis, Devon 2B DET",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Leblanc, Joshua 2B LAA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Turner, Lloyd 2B OAK",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Brown, Nebasett 2B ARI",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Rivera, Jose 2B COL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Shaw, Nick 2B MIL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Anderson, Drew M. 2B CIN",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Gibson, Derrik 2B BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Wetzel, Erik 2B COL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Spangenberg, Cory 2B SD ",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Burgamy, Brian 2B SD",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Amador, Christopher 2B CHW",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Snyder, Justin 2B NYY",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Natale, Jeffrey 2B BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Penalver, Carlos 2B CHC",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Meneses, Heiker 2B BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Tolisano, John 2B TOR ",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Pertusati, Daniel 2B MIA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Wagner, Daniel 2B CHW",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Garrabrants, Steve 2B ARI",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Garcia, Greg 2B STL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Sollmann, Steven 2B MIL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Lara, Christian 2B LAD",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Hee, Jonathan 2B BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Leon, Maxwell 2B DET",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Segovia, Luis 2B BOS",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Malec, Christopher 2B NYY",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Ash, Jonathan 2B MIL",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Castro, Ismael 2B SEA",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
"Sanchez, Carlos 2B CHW",Free Agent,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,2551
