All Outfielders 3 Year Averages MLB Standard Stats
Player,Team	AB	R	H	1B	2B	3B	HR	RBI	BB	KO	SB	CS	BA	OBP	SLG	Rank	
"Young, Eric LF COL "	Free Agent	181	32	49	41	5	2	1	11	19	34	19	4	0.2707	0.3465	0.3370	389
"Solano, Donovan 2B MIA "	Free Agent	285	29	84	68	11	3	2	28	21	58	7	0	0.2947	0.3419	0.3754	399
"Martinez, J.D. LF HOU "	Free Agent	302	32	76	52	14	2	8	45	26	72	0	2	0.2517	0.3133	0.3907	405
"Nieuwenhuis, Kirk CF NYM "	Free Agent	282	40	71	51	12	1	7	28	25	98	4	4	0.2518	0.3151	0.3759	408
"Patterson, Corey CF MIL"	Free Agent	225	31	57	39	12	1	5	23	12	51	11	4	0.2533	0.2929	0.3822	412
"Viciedo, Dayan RF CHW"	Free Agent	237	31	62	43	9	0	10	32	13	56	1	1	0.2616	0.3071	0.4262	414
"Harper, Bryce RF WAS"	Orange-a-Tangs	178	33	48	29	9	3	7	20	19	40	6	2	0.2697	0.3417	0.4719	425
"Fukudome, Kosuke RF CHW"	Free Agent	310	35	80	55	16	2	7	28	44	62	4	5	0.2581	0.3492	0.3903	426
"Plouffe, Trevor 3B MIN "	Evil Empire	250	37	58	33	13	1	11	31	21	59	1	2	0.2320	0.2971	0.4240	430
"Duncan, Shelley LF TB"	Free Agent	228	29	53	30	12	0	11	38	24	64	1	1	0.2325	0.3086	0.4298	433
"Schierholtz, Nate RF CHC"	Free Agent	268	32	70	47	14	3	6	26	21	48	5	4	0.2612	0.3197	0.4030	443
"Figgins, Chone LF MIA"	Free Agent	352	35	80	65	12	2	1	20	38	68	19	7	0.2273	0.3020	0.2812	444
"Ordonez, Magglio RF DET"	Free Agent	217	30	61	46	9	0	6	30	21	26	1	0	0.2811	0.3417	0.4055	448
"Gwynn, Tony CF LAD"	Free Agent	287	32	66	50	10	4	2	20	27	54	17	5	0.2300	0.2975	0.3136	449
"Moore, Tyler LF WAS"	Free Agent	156	20	41	22	9	0	10	29	14	46	3	0	0.2628	0.3275	0.5128	459
"Dobbs, Greg LF MIA"	Free Agent	298	26	79	58	14	1	6	34	16	58	2	1	0.2651	0.3019	0.3792	464
"Snider, Travis LF PIT"	Free Agent	216	27	53	32	14	0	7	26	16	61	6	2	0.2454	0.2979	0.4074	467
"Drew, J.D. RF BOS"	Free Agent	242	31	59	39	10	1	9	30	31	54	1	1	0.2438	0.3321	0.4050	469
"Blanco, Gregor LF SF"	Disco Bush Horticulturists	210	29	54	41	8	3	2	16	27	51	12	3	0.2571	0.3431	0.3524	479
"Wells, Casper RF SEA "	Free Agent	198	29	49	30	10	1	8	27	17	57	2	1	0.2475	0.3196	0.4293	488
"LaHair, Bryan 1B CHC"	Free Agent	200	26	52	32	11	0	9	23	24	71	2	1	0.2600	0.3378	0.4500	492
"Ankiel, Rick CF HOU"	Free Agent	250	31	59	37	14	1	7	25	22	75	5	2	0.2360	0.2993	0.3840	493
"Marte, Starling CF PIT"	Free Agent	167	18	43	29	3	6	5	17	8	50	12	5	0.2575	0.3000	0.4371	495
"Lillibridge, Brent RF CHC"	Free Agent	158	27	36	24	5	1	6	18	10	56	9	4	0.2278	0.2874	0.3861	499
"Schafer, Jordan CF ATL "	Free Agent	205	29	46	35	7	2	2	12	21	59	16	4	0.2244	0.3013	0.3073	503
"McLouth, Nate CF BAL"	Sofa Kings	258	35	57	37	13	1	6	20	35	57	8	2	0.2209	0.3199	0.3488	504
"Johnson, Reed LF ATL"	Free Agent	239	29	69	48	16	2	3	21	8	58	2	2	0.2887	0.3294	0.4100	514
"McDonald, Darnell RF CHC"	Free Agent	188	28	47	30	10	1	6	22	19	46	4	2	0.2500	0.3206	0.4096	517
"Chavez, Endy RF KC"	Free Agent	207	26	54	40	8	2	4	20	8	27	6	4	0.2609	0.2857	0.3768	519
"Coghlan, Chris LF MIA"	Free Agent	240	34	57	38	14	1	4	20	21	48	6	4	0.2375	0.3045	0.3542	521
"Lewis, Fred LF NYM"	Free Agent	210	31	52	33	13	2	4	18	21	49	6	4	0.2476	0.3249	0.3857	524
"Gentry, Craig LF TEX"	Free Agent	135	20	39	31	6	1	1	14	8	26	11	2	0.2889	0.3490	0.3704	525
"Sweeney, Ryan RF BOS "	Free Agent	257	32	71	51	17	2	1	26	23	44	1	1	0.2763	0.3333	0.3696	528
"Nix, Laynce LF PHI"	Free Agent	201	22	52	31	12	1	8	26	17	54	1	1	0.2587	0.3151	0.4478	530
"Dyson, Jarrod CF KC"	Free Agent	131	24	32	26	4	2	0	6	14	29	17	2	0.2443	0.3151	0.3053	531
"Bourgeois, Jason RF TB"	Free Agent	141	19	38	32	5	1	0	8	9	15	16	5	0.2695	0.3133	0.3191	535
"Presley, Alex CF PIT"	Free Agent	195	25	51	33	9	4	5	15	11	40	6	4	0.2615	0.3043	0.4256	537
"Wise, Dewayne LF CHW"	Free Agent	145	20	35	24	5	2	4	17	6	39	10	2	0.2414	0.2745	0.3862	538
"Kearns, Austin RF MIA"	Free Agent	233	31	57	40	11	1	5	24	29	69	2	2	0.2446	0.3444	0.3648	543
"Ruggiano, Justin LF MIA "	Evil Empire	131	16	39	24	9	0	6	16	11	37	5	3	0.2977	0.3497	0.5038	544
"Hinske, Eric 1B ARI"	Free Agent	216	24	51	29	13	1	8	31	24	62	0	0	0.2361	0.3128	0.4167	549
"Gose, Anthony CF TOR"	Whiteness	166	25	37	26	7	3	1	11	17	59	15	3	0.2229	0.3027	0.3193	555
"Francisco, Ben LF CLE"	Free Agent	207	21	52	34	12	1	5	26	20	42	4	2	0.2512	0.3203	0.3913	558
"Reimold, Nolan LF BAL "	Orange-a-Tangs	150	20	37	22	7	1	7	23	14	32	3	1	0.2467	0.3155	0.4467	567
"Valdez, Wilson SS SF"	Free Agent	267	30	65	50	11	2	2	27	16	40	4	1	0.2434	0.2877	0.3221	568
"Borbon, Julio CF TEX "	Free Agent	176	23	48	41	4	2	1	18	7	23	7	3	0.2727	0.3027	0.3352	570
