All Relief Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Tyson Ross SP  DET"	146	29	29	14	0	7	14	0	0	123	60	151	5.09	1.44	716
"Ryan Buchter RP  OAK "	32	43	0	0	0	3	1	1	0	39	15	28	3.09	1.34	717
"Brad Wieck RP  SD "	53	37	0	0	0	1	2	0	0	59	15	46	3.74	1.15	718
"Richard Bleier RP  BAL "	69	65	0	0	0	3	1	0	0	36	13	85	2.35	1.42	719
"Steven Wright RP  BOS "	48	23	11	5	0	5	3	0	0	37	22	46	3.75	1.42	720
"Trey Wingenter RP  SD"	53	66	0	0	0	1	1	1	0	81	33	39	4.08	1.36	721
"Kyle Barraclough RP  WAS "	46	53	0	0	0	2	2	5	1	54	29	37	4.11	1.43	722
"Adam Conley RP  MIA "	62	73	0	0	0	3	3	6	1	58	24	59	5.20	1.33	723
"Robert Gsellman RP  NYM "	62	60	0	0	0	6	3	2	0	52	23	68	5.05	1.46	727
"Taylor Rogers RP  MIN "	47	61	0	0	0	1	1	1	0	62	16	47	3.45	1.34	730
"Silvino Bracho RP  ARI"	47	54	0	0	0	3	1	1	0	62	21	46	4.53	1.41	731
"Chasen Bradford RP  SEA"	56	55	0	0	0	5	2	1	0	47	19	64	4.31	1.47	732
"Yoan Lopez RP  ARI"	46	58	0	0	0	1	1	1	0	54	12	44	3.86	1.20	733
"Joe Jimenez RP  DET"	61	72	0	0	0	2	3	1	0	84	22	58	5.25	1.30	734
"Brad Brach RP  CHC "	46	55	0	0	0	2	3	7	1	51	23	52	3.88	1.62	735
"Kevin McCarthy RP  KC"	75	64	0	0	0	3	2	2	0	53	24	85	3.57	1.44	736
"Jonathan Loaisiga RP  NYY"	40	23	11	4	0	5	3	0	0	48	18	43	4.87	1.50	739
"Cam Bedrosian RP  LAA "	47	58	0	0	0	4	3	1	0	53	21	52	4.18	1.54	740
"Caleb Ferguson RP  LAD"	22	24	0	0	0	3	1	0	0	29	6	20	3.68	1.18	742
"Dennis Santana RP  LAD"	38	23	11	5	0	5	3	0	0	39	15	41	4.89	1.45	749
"Gabriel Moya RP  MIN"	46	52	0	0	0	4	1	1	0	45	17	46	4.89	1.37	750
"Bobby Poyner RP  BOS"	43	47	0	0	0	1	0	1	0	54	7	49	3.77	1.30	754
"Michael Lorenzen RP  CIN "	71	54	0	0	0	3	1	1	0	59	32	73	3.80	1.48	757
"Hansel Robles RP  LAA "	61	58	0	0	0	3	3	1	0	74	32	62	4.52	1.52	758
"Jeffrey Springs RP  TEX"	73	40	0	0	0	2	1	0	0	76	34	78	3.58	1.53	759
"Sam Dyson RP  SF"	60	64	0	0	0	2	2	3	1	50	24	61	4.03	1.41	761
"Justin Anderson RP  LAA"	61	73	0	0	0	2	2	4	1	90	52	54	4.40	1.73	763
"Elvis Luciano P  TOR"	54	50	0	0	0	3	2	0	0	54	21	54	4.47	1.38	765
"Victor Alcantara RP  DET"	52	44	0	0	0	1	2	0	0	39	13	51	3.29	1.23	766
"Dakota Hudson RP  STL "	61	74	0	0	0	4	3	0	0	52	50	52	3.23	1.66	767
"Juan Nicasio RP  PHI"	54	60	0	0	0	1	3	2	0	69	11	61	4.83	1.33	768
"Vidal Nuno RP  WAS "	25	19	5	2	0	3	2	0	0	24	10	24	3.51	1.32	769
"Cory Gearrin RP  SEA "	39	46	0	0	0	2	1	1	0	42	19	39	3.40	1.46	770
"Tim Mayza RP  TOR"	49	59	0	0	0	3	1	1	0	73	21	59	4.78	1.63	772
"Wily Peralta RP  KC "	70	61	0	0	0	3	2	5	1	71	40	66	5.14	1.51	773
"Dominic Leone RP  STL "	39	50	0	0	0	2	1	1	0	53	16	42	4.15	1.49	774
"Matt Koch SP  ARI"	43	23	10	4	0	4	5	0	0	25	11	45	4.39	1.30	776
"Tanner Scott RP  BAL"	62	62	0	0	0	2	1	1	0	105	34	63	5.49	1.56	777
"Brad Peacock RP  HOU "	18	18	0	0	0	2	1	0	0	28	7	16	3.38	1.23	779
"Aaron Brooks RP  OAK"	32	20	7	3	0	3	3	0	0	30	15	30	3.86	1.38	780
"Thomas Pannone SP  TOR"	47	23	11	5	0	3	5	0	0	39	18	45	4.37	1.33	781
"Zach McAllister RP  TEX "	63	56	0	0	0	2	2	1	0	69	17	71	4.81	1.38	782
"Greg Holland RP  ARI "	51	68	0	0	0	2	2	6	1	61	34	48	4.94	1.61	783
"Addison Reed RP  MIN"	53	55	0	0	0	1	3	4	1	50	14	60	4.25	1.40	784
"Cionel Perez RP  HOU"	26	19	6	2	0	3	2	0	0	28	13	22	4.39	1.31	785
"Justin Wilson RP  NYM "	37	59	0	0	0	2	3	1	0	58	27	34	4.10	1.63	786
"Ian Hamilton RP  CHW"	52	64	0	0	0	2	6	1	0	46	17	48	4.81	1.24	787
"Blaine Hardy RP  DET "	55	59	0	0	0	2	1	0	0	46	16	58	4.04	1.33	788
"Oliver Perez RP  CLE "	21	22	0	0	0	1	1	1	0	42	9	22	3.80	1.45	793
"Jonathan Holder RP  NYY"	38	41	0	0	0	1	1	1	0	40	12	38	3.79	1.32	794
"Scott Alexander RP  LAD"	44	55	0	0	0	2	1	1	0	43	21	44	3.86	1.47	796
"Heath Hembree RP  BOS"	48	63	0	0	0	2	2	1	0	69	25	54	4.44	1.62	797
"Brandon Workman RP  BOS "	42	48	0	0	0	3	2	1	0	45	19	46	4.50	1.55	799
"Enyel De Los Santos RP  PHI"	41	22	9	4	0	3	3	0	0	38	16	41	4.61	1.39	800
"David Phelps RP  TOR "	51	48	0	0	0	1	2	0	0	61	26	50	3.71	1.49	801
"Matt Magill RP  MIN"	53	40	0	0	0	3	3	1	0	60	25	62	4.36	1.62	802
"Juan Minaya RP  CHW"	64	73	0	0	0	2	2	1	0	99	45	67	4.48	1.74	803
"Jake Faria SP  TB"	37	20	8	3	0	3	3	0	0	32	17	33	4.62	1.35	804
"Adam Cimber RP  CLE"	38	46	0	0	0	2	5	1	0	36	11	44	3.96	1.42	805
"Jalen Beeks RP  TB"	47	22	10	4	0	4	3	0	0	43	21	48	5.10	1.45	807
"Chaz Roe RP  TB "	31	47	0	0	0	1	2	1	0	42	13	27	4.64	1.29	809
"Derek Holland SP  SF "	41	23	10	4	0	3	4	0	0	40	19	42	4.54	1.46	810
"Dylan Covey SP  CHW "	50	23	10	3	0	4	7	0	0	38	20	50	5.15	1.38	811
"Tommy Kahnle RP  NYY "	37	46	0	0	0	1	1	1	0	62	18	39	4.82	1.53	814
"Corey Oswalt SP  NYM"	40	23	10	3	0	4	3	0	0	29	12	41	5.58	1.31	816
"Andrew Vasquez RP  MIN"	30	28	0	0	0	2	1	1	0	43	12	32	5.34	1.45	818
"Nick Wittgren RP  CLE "	30	32	0	0	0	2	2	1	0	32	13	32	4.15	1.48	819
"Matt Grace RP  WAS"	41	45	0	0	0	1	1	1	0	36	12	45	3.70	1.38	820
"Tony Cingrani RP  LAD"	29	47	0	0	0	1	1	1	0	47	10	30	5.22	1.36	821
"Danny Barnes RP  TOR "	48	53	0	0	0	3	3	1	0	56	24	51	5.21	1.55	823
"John Gant SP  STL"	28	16	0	0	0	2	1	0	0	24	15	24	3.77	1.36	824
"Tayron Guerrero RP  MIA"	66	67	0	0	0	1	1	5	1	83	33	71	5.26	1.56	825
"Jerad Eickhoff RP  PHI "	44	23	10	4	0	3	3	0	0	46	17	51	4.71	1.55	828
"Buck Farmer RP  DET"	66	65	0	0	0	3	3	1	0	64	36	67	4.75	1.55	830
"Jake Diekman RP  KC "	51	72	0	0	0	1	1	1	0	74	33	47	4.76	1.57	831
"Chris Martin RP  TEX"	61	68	0	0	0	1	4	1	0	63	8	75	4.96	1.35	832
"Parker Bridwell RP  LAA "	33	20	7	4	0	3	4	0	0	20	8	35	4.86	1.29	833
"Wander Suero RP  WAS"	22	22	0	0	0	2	1	0	0	24	8	23	4.09	1.41	834
"Zack Littell RP  MIN"	41	22	9	3	0	3	4	0	0	37	17	42	5.01	1.43	835
"Jose Alvarez RP  PHI "	31	46	0	0	0	1	1	1	0	37	13	34	3.73	1.50	836
"Sam McWilliams P  KC"	25	17	4	2	0	2	2	0	0	26	10	25	4.56	1.36	837
"Jacob Barnes RP  MIL"	47	55	0	0	0	1	1	1	0	55	25	50	3.96	1.57	838
