All Starting Pitchers   Projections Standard Categories
Player,INNs	APP	GS	QS	CG	W	L	S	BS	K	BB	H	ERA	WHIP	Rank	
"Adam Plutko SP  CLE"	4	4	0	0	0	0	0	0	0	4	1	5	5.79	1.29	1001
"Luis Ortiz SP  BAL "	136	29	29	13	0	6	13	0	0	111	57	168	5.33	1.65	1002
"Ben Lively SP  KC"	8	6	0	0	0	0	1	0	0	6	3	9	4.50	1.50	1006
"Kyle Dowdy SP  NYM"	1	2	0	0	0	0	0	0	0	2	1	2	5.40	1.80	1009
"Daniel Gossett SP  OAK "	5	3	1	0	0	0	1	0	0	4	2	6	5.06	1.50	1012
"Sal Romano SP  CIN "	7	8	0	0	0	0	0	0	0	5	3	7	5.14	1.43	1013
"Robert Stephenson SP  CIN "	11	7	0	0	0	0	1	0	0	12	7	11	5.56	1.59	1029
"Wilmer Font RP  TB "	13	9	0	0	0	0	1	0	0	11	5	13	6.23	1.38	1034
"Matt Moore RP  DET "	120	26	26	9	0	4	10	0	0	105	46	154	5.46	1.66	1048
"Ryan Weathers SP  SD"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Alex Faedo SP  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Dylan Baker SP  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Nick Neidert SP  MIA "	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Steven Jennings SP  PIT"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Zac Lowther SP  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Tucker Davidson SP  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Aaron Blair SP  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Aaron Civale SP  CLE "	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Kyle Winkler SP  ARI"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Aaron Slegers SP  PIT "	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Brandon McCarthy SP  ATL"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Yennsy Diaz SP  TOR"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Mark Sappington SP  TB"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Tobias Myers SP  BAL"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Roniel Raudes SP  BOS"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Stephen Gonsalves SP  MIN"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Marcos Molina SP  NYM "	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Johan Oviedo SP  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Tommy Collier SP  DET"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Edwin Uceta SP  LAD"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Cole Irvin SP  PHI"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"J.C. Sulbaran SP  STL"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Tyler Alexander SP  DET "	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
"Jeff Locke SP  MIA"	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	9999
