All Starting Pitchers 2017  Season MLB Standard Categories
Player,INN	GS	QS	CG	W	L	S	BS	K	BBI	HA	ERA	WHIP	Rank	
"Anthony Banda SP  ARI"	25.7	4	1	0	2	3	0	0	25	10	26	5.96	1.40	869
"Chad Bettis SP  COL "	46.3	9	3	0	2	4	0	0	30	11	52	5.05	1.36	872
"Matt Moore SP  TEX "	174.3	31	14	0	6	15	0	0	148	67	200	5.52	1.53	874
"Vince Velasquez SP  PHI "	72.0	15	4	0	2	7	0	0	68	34	74	5.12	1.50	881
"Alec Asher RP  BAL"	60.0	6	3	0	2	5	0	0	47	23	61	5.25	1.40	885
"Francisco Liriano RP  HOU"	97.0	18	5	0	6	7	0	0	85	53	105	5.66	1.63	896
"Andrew Moore SP  SEA"	59.0	9	4	0	1	5	0	1	31	8	60	5.34	1.15	897
"Brandon Finnegan SP  CIN"	13.0	4	1	0	1	1	0	0	16	13	9	4.15	1.69	902
"Daniel Norris SP  DET"	101.7	18	6	0	5	8	0	0	86	44	120	5.31	1.61	904
"David Paulino SP  HOU "	29.0	6	1	0	2	0	0	0	34	7	36	6.52	1.48	909
"Jesse Hahn SP  KC "	69.7	13	6	0	3	6	0	0	55	27	78	5.30	1.51	911
"Jen-Ho Tseng SP  CHC"	6.0	1	0	0	1	0	0	0	8	2	5	7.50	1.17	914
"Zack Wheeler SP  NYM "	86.3	17	6	0	3	7	0	0	81	40	97	5.21	1.59	926
"Junior Guerra SP  MIL "	70.3	14	4	0	1	4	0	0	67	43	61	5.12	1.48	946
"Lucas Sims SP  ATL"	57.7	10	3	0	3	6	0	0	44	23	64	5.62	1.51	957
"Hisashi Iwakuma SP  SEA "	31.0	6	2	0	0	2	0	0	16	12	27	4.36	1.26	968
"Phil Hughes SP  MIN "	53.7	9	3	0	4	3	0	0	38	13	72	5.87	1.58	972
"Ryan Weber SP  SEA "	3.7	1	0	0	0	0	0	0	0	0	3	2.45	0.82	978
"Luis Cessa SP  NYY"	36.0	5	0	0	0	3	0	0	30	17	36	4.75	1.47	1040
"Yovani Gallardo SP  MIL "	130.7	22	5	0	5	10	1	0	94	60	138	5.72	1.52	1047
"Dillon Peters SP  MIA"	31.3	6	2	0	1	2	0	0	27	19	32	5.17	1.63	1052
"Nick Martinez SP  TEX "	111.3	18	7	0	3	8	0	0	67	28	124	5.66	1.37	1055
"Rob Whalen SP  SEA"	7.3	1	0	0	0	1	0	0	2	2	7	6.14	1.23	1067
"Aaron Slegers SP  MIN"	15.3	3	1	0	0	1	0	0	9	6	12	6.46	1.17	1073
"Andrew Heaney SP  LAA "	21.7	5	1	0	1	2	0	0	27	9	27	7.06	1.66	1091
"Wade Miley SP  BAL"	157.3	32	8	0	8	15	0	0	142	93	179	5.61	1.73	1096
"Aaron Sanchez SP  TOR "	36.0	8	3	0	1	3	0	0	24	20	42	4.25	1.72	1097
"Dietrich Enns SP  MIN"	4.0	1	0	0	0	0	0	0	2	1	7	6.75	2.00	1113
"Dylan Baker SP  LAD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Alec Mills SP  CHC "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Zach Jemiola SP  COL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Robbie Erlin SP  SD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Taylor Guerrieri SP  TOR "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Tyrell Jenkins SP  SD"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Marcos Molina SP  NYM"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Connor Sadzeck SP  TEX"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Jesse Biddle SP  ATL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Nick Tropeano SP  LAA "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Nate Smith SP  LAA "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Kyle Zimmer SP  KC "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Clayton Blackburn SP  TEX"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Chris Bassitt SP  OAK "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Elniery Garcia SP  PHI"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Nick Travieso SP  CIN "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Mark Appel SP  PHI "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Fernando Romero SP  MIN "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Alex Reyes SP  STL "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Joan Gregorio SP  SF "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Armando Rivero SP  ATL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Aaron Brooks SP  MIL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Duane Underwood SP  CHC"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Drew Smyly SP  CHC "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Chi Chi Gonzalez SP  TEX "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Colin Rea SP  SD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Scott Kazmir SP  ATL "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Henry Owens SP  LAD "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Adam Plutko SP  CLE "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Chase Johnson SP  SF "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Nick Kingham SP  PIT"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Anthony DeSclafani SP  CIN "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Austin Voth SP  WAS"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Brady Rodgers SP  HOU "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Yency Almonte SP  COL"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Clay Holmes SP  PIT"	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
"Nathan Eovaldi SP  TB "	0.0	0	0	0	0	0	0	0	0	0	0	0.00	0.00	1122
